org, Dyn, Func, Dec, With, Asc, Relatedness
000Justin000, 0, 0, 0, 1, 0, 0
11, 1, 0, 1, 0, 0, 1
007gzs, 115, 40, 53, 6, 0, 1
00riddle00, 0, 1, 0, 0, 0, 0
1.11001E+14, 654, 1133, 456, 247, 0, 1
01org, 11, 18, 3, 61, 0, 1
0312birdzhang, 1, 7, 2, 0, 0, 1
60411121, 0, 1, 0, 0, 0, 0
909023, 0, 0, 3, 0, 0, 0
09zwcbupt, 151, 184, 536, 16, 0, 1
0bserver07, 0, 3, 0, 8, 0, 1
0Chencc, 1249, 1757, 962, 830, 0, 1
0cN, 3, 2, 1, 0, 0, 1
0compute, 2, 0, 0, 0, 0, 0
0CT3T, 9, 0, 1, 11, 0, 1
0dataloss, 51, 115, 158, 46, 0, 1
0dayZh, 0, 1, 0, 0, 0, 0
0ED, 0, 0, 0, 1, 0, 0
0Ekho, 0, 0, 0, 4, 0, 0
0gajun, 17, 60, 0, 2, 0, 1
0hoo, 26, 188, 17, 0, 0, 1
0Hughman0, 0, 4, 8, 2, 0, 1
0k, 283, 1529, 60, 137, 0, 1
0nkery, 0, 1, 0, 0, 0, 0
0ortmann, 0, 20, 0, 1, 0, 1
0rangeT1ger, 0, 2, 2, 12, 0, 1
0rent, 0, 0, 2, 1, 0, 1
0valse, 0, 3, 0, 13, 0, 1
0x0AF, 3, 5, 8, 0, 0, 1
0x0FFF, 77, 136, 34, 392, 0, 1
0x0mar, 3, 0, 0, 0, 0, 0
0x1997, 82, 94, 13, 31, 0, 1
0x24a537r9, 0, 0, 1, 0, 0, 0
0x535431, 277, 476, 261, 133, 0, 1
0x726d77, 0, 193, 2, 0, 0, 1
0x73, 2, 14, 0, 5, 0, 1
0x7678, 22, 68, 39, 0, 0, 1
0x90, 20, 111, 21, 103, 0, 1
0x90sled, 1055, 1452, 729, 626, 0, 1
0xa, 1, 2, 6, 9, 0, 1
0xbaadf00d, 42, 11, 7, 2, 0, 1
0xDCA, 0, 1, 0, 3, 0, 1
0xddaa, 28, 118, 173, 14, 0, 1
0xdyu, 115, 122, 153, 8, 0, 1
0xf2, 14, 190, 1, 24, 0, 1
0xkag, 105, 471, 260, 223, 0, 1
0xPhoeniX, 0, 4, 3, 1, 0, 1
0xwindows, 0, 0, 0, 17, 0, 0
100loto, 0, 20, 4, 7, 0, 1
1065865483, 0, 0, 2, 6, 0, 1
10c8, 3, 2, 0, 3, 0, 1
10gen-labs, 0, 24, 39, 59, 0, 1
10printhello, 0, 0, 5, 1, 0, 1
10x10sw, 0, 1, 0, 0, 0, 0
111t8e, 5, 72, 92, 14, 0, 1
119, 10, 21, 0, 2, 0, 1
11craft, 14, 20, 3, 0, 0, 1
11dimension, 2, 2, 14, 2, 0, 1
11rohans, 0, 4, 0, 5, 0, 1
121595113, 0, 2, 2, 12, 0, 1
122689305, 9, 108, 16, 33, 0, 1
12thmantec, 0, 2, 0, 0, 0, 0
130s, 1, 46, 1, 49, 0, 1
1337, 8, 89, 3, 10, 1, 1
13steinj, 4, 8, 4, 4, 0, 1
14rcole, 2, 16, 0, 8, 0, 1
15thnight, 2, 26, 35, 4, 0, 1
171767313, 3, 10, 1, 0, 0, 1
174high, 10, 3, 114, 0, 0, 1
180254, 0, 1, 0, 2, 0, 1
183amir, 1, 2, 17, 1, 0, 1
18671178307, 0, 0, 0, 6, 0, 0
18F, 26, 62, 14, 0, 0, 1
196510921, 0, 2, 0, 0, 0, 0
1995parham, 0, 1, 1, 0, 0, 1
1d4Nf6, 35, 438, 173, 94, 0, 1
1dot75cm, 2, 29, 32, 12, 0, 1
1Feng, 3, 3, 35, 6, 0, 1
1fish2, 0, 0, 0, 3, 0, 0
1haodian, 153, 1080, 903, 170, 0, 1
1iyiwei, 0, 40, 0, 9, 0, 1
1modm, 4, 6, 4, 15, 0, 1
1nc1n3rat0r, 11, 565, 26, 0, 0, 1
1npo, 0, 0, 0, 8, 0, 0
1stsetup, 0, 6, 7, 10, 0, 1
1tgr, 0, 0, 0, 4, 0, 0
1wheel, 0, 0, 0, 1, 0, 0
1wilkens, 0, 1, 0, 0, 0, 0
1xuanyuan1, 0, 0, 0, 1, 0, 0
1yvT0s, 1, 10, 0, 2, 0, 1
2014c2g14, 1917, 2153, 1216, 783, 0, 1
2014c2g19, 2316, 2605, 1508, 960, 0, 1
2014c2g23, 1061, 1213, 660, 412, 0, 1
2014c2g4, 527, 609, 330, 206, 0, 1
2014c2g5, 1054, 1218, 660, 412, 0, 1
2014cdag10, 477, 527, 308, 199, 0, 1
2014cdag16, 477, 528, 308, 199, 0, 1
2014cdag6, 1, 0, 0, 3, 0, 1
2014cdbg10, 1, 0, 0, 3, 0, 1
2014cdbg13, 477, 522, 308, 199, 0, 1
2014cdbg4, 1054, 1218, 660, 412, 0, 1
2014cdbg9, 8, 16, 1, 12, 0, 1
2015fallproject, 2097, 2507, 1013, 3240, 0, 1
20c, 20, 25, 36, 12, 0, 1
20centaurifux, 1, 20, 0, 4, 0, 1
20tab, 83, 6, 13, 0, 0, 1
2112e, 0, 6, 0, 12, 0, 1
23andMe, 0, 5, 1, 25, 0, 1
23maverick23, 0, 13, 0, 0, 0, 0
24HOURSMEDIA, 0, 1, 0, 0, 0, 0
24x7coin-project, 0, 5, 0, 0, 0, 0
25A0, 0, 2, 0, 15, 0, 1
275288698, 1, 4, 0, 6, 0, 1
27629678, 40, 40, 1, 0, 0, 1
286897655, 0, 2, 0, 0, 0, 0
2947721120, 26, 42, 22, 2, 0, 1
2baOrNot2ba, 0, 1, 0, 3, 0, 1
2gis, 2, 12, 12, 13, 0, 1
2ion, 0, 2, 0, 3, 0, 1
2rs2ts, 80, 526, 1425, 255, 0, 1
2uller, 993, 2269, 330, 500, 0, 1
2vcps, 1, 0, 0, 0, 0, 0
2XL, 0, 49, 6, 8, 0, 1
3013216027, 0, 1, 0, 3, 0, 1
311labs, 0, 1, 0, 0, 0, 0
314r, 0, 4, 29, 3, 0, 1
317070, 4, 24, 1, 2, 0, 1
3203317, 7, 28, 0, 0, 0, 1
32bitmicro, 0, 11, 0, 2, 0, 1
333fred, 0, 0, 0, 2, 0, 0
345ishaan, 0, 1, 0, 0, 0, 0
350dotorg, 508, 745, 266, 1, 0, 1
39aldo39, 0, 6, 0, 0, 0, 0
39M, 2, 1, 0, 1, 0, 1
3amon, 0, 2, 0, 1, 0, 1
3baolian, 0, 0, 0, 2, 0, 0
3cky, 131, 167, 97, 39, 0, 1
3D-Circle, 0, 55, 16, 1, 0, 1
3d-gussner, 0, 4, 0, 1, 0, 1
3dfxmadscientist, 255, 1217, 34, 52, 0, 1
3dprintcanalhouse, 1, 4, 1, 13, 0, 1
3drepo, 0, 6, 0, 1, 0, 1
3EleVen, 0, 1, 0, 0, 0, 0
3ev0, 0, 7, 0, 4, 0, 1
3L3N4, 48, 5154, 76, 4, 0, 1
3ptscience, 10, 13, 31, 30, 0, 1
3quarterstack, 1056, 1022, 583, 155, 0, 1
3stack-software, 0, 2, 2, 12, 0, 1
3upperm2n, 2, 12, 6, 1, 0, 1
40023154, 527, 609, 330, 206, 0, 1
40023247, 1061, 1213, 660, 412, 0, 1
40123142, 527, 609, 330, 206, 0, 1
40123158, 18, 15, 33, 11, 0, 1
40123210, 1061, 1213, 660, 412, 0, 1
40123227, 8, 16, 1, 12, 0, 1
40123237, 527, 604, 330, 206, 0, 1
40123247, 527, 604, 330, 206, 0, 1
40223101, 2642, 3036, 1650, 1030, 0, 1
40223102, 527, 609, 330, 206, 0, 1
40223104, 527, 615, 330, 206, 0, 1
40223105, 0, 6, 0, 0, 0, 0
40223112, 527, 609, 330, 206, 0, 1
40223113, 0, 5, 0, 0, 0, 0
40223114, 1054, 1218, 660, 412, 0, 1
40223117cda, 1054, 1213, 660, 412, 0, 1
40223119, 1054, 1213, 660, 412, 0, 1
40223131, 527, 614, 330, 206, 0, 1
40223134, 1061, 1213, 660, 412, 0, 1
40223135, 1056, 1217, 660, 415, 0, 1
40223136, 5811, 6681, 3630, 2266, 0, 1
40223137, 1588, 1823, 990, 618, 0, 1
40223138, 527, 614, 330, 206, 0, 1
40223139, 1054, 1213, 660, 412, 0, 1
40223141, 1054, 1224, 660, 412, 0, 1
40223142, 1588, 1818, 990, 618, 0, 1
40223143, 0, 5, 0, 0, 0, 0
40223144, 1054, 1213, 660, 412, 0, 1
40223148, 1062, 1228, 662, 423, 0, 1
40223149, 1054, 1213, 660, 412, 0, 1
40223202, 1054, 1218, 660, 412, 0, 1
40223205, 1061, 1213, 660, 412, 0, 1
40223209, 1588, 1822, 990, 618, 0, 1
40223210, 527, 609, 330, 206, 0, 1
40223211, 1054, 1223, 660, 412, 0, 1
40223212, 1054, 1218, 660, 412, 0, 1
4022321818, 527, 604, 330, 206, 0, 1
40223220, 1054, 1218, 660, 412, 0, 1
40223221, 0, 5, 0, 0, 0, 0
40223225, 0, 5, 0, 0, 0, 0
40223226, 1588, 1832, 990, 618, 0, 1
40223227, 527, 609, 330, 206, 0, 1
40223229, 527, 614, 330, 206, 0, 1
