DynCount,FuncCount,DecCount,DynFunc,FuncDec,DynDec,Relatedness
1,0,1,0,0,1,1
115,40,53,1,1,1,1
0,1,0,0,0,0,0
654,1133,456,1,1,1,1
11,18,3,1,1,1,1
1,7,2,1,1,1,1
0,1,0,0,0,0,0
0,0,3,0,0,0,0
151,184,536,1,1,1,1
0,3,0,0,0,0,0
1249,1757,962,1,1,1,1
3,2,1,1,1,1,1
2,0,0,0,0,0,0
9,0,1,0,0,1,1
51,115,158,1,1,1,1
0,1,0,0,0,0,0
17,60,0,1,0,0,1
26,188,17,1,1,1,1
0,4,8,0,1,0,1
283,1529,60,1,1,1,1
0,1,0,0,0,0,0
0,20,0,0,0,0,0
0,2,2,0,1,0,1
0,0,2,0,0,0,0
0,3,0,0,0,0,0
3,5,8,1,1,1,1
77,136,34,1,1,1,1
3,0,0,0,0,0,0
82,94,13,1,1,1,1
0,0,1,0,0,0,0
277,476,261,1,1,1,1
0,193,2,0,1,0,1
2,14,0,1,0,0,1
22,68,39,1,1,1,1
20,111,21,1,1,1,1
1055,1452,729,1,1,1,1
1,2,6,1,1,1,1
42,11,7,1,1,1,1
0,1,0,0,0,0,0
28,118,173,1,1,1,1
115,122,153,1,1,1,1
14,190,1,1,1,1,1
105,471,260,1,1,1,1
0,4,3,0,1,0,1
0,20,4,0,1,0,1
0,0,2,0,0,0,0
3,4,0,1,0,0,1
0,24,39,0,1,0,1
0,0,5,0,0,0,0
0,1,0,0,0,0,0
5,72,92,1,1,1,1
10,21,0,1,0,0,1
14,20,3,1,1,1,1
2,2,14,1,1,1,1
0,4,0,0,0,0,0
0,2,2,0,1,0,1
9,108,16,1,1,1,1
0,2,0,0,0,0,0
1,46,1,1,1,1,1
8,89,3,1,1,1,1
4,8,4,1,1,1,1
2,16,0,1,0,0,1
2,26,35,1,1,1,1
3,10,1,1,1,1,1
10,3,114,1,1,1,1
0,1,0,0,0,0,0
1,2,17,1,1,1,1
26,62,14,1,1,1,1
0,2,0,0,0,0,0
0,1,1,0,1,0,1
35,438,173,1,1,1,1
2,29,32,1,1,1,1
3,3,35,1,1,1,1
153,1080,903,1,1,1,1
0,40,0,0,0,0,0
4,6,4,1,1,1,1
11,565,26,1,1,1,1
0,6,7,0,1,0,1
0,1,0,0,0,0,0
1,10,0,1,0,0,1
1917,2153,1216,1,1,1,1
2316,2605,1508,1,1,1,1
1061,1213,660,1,1,1,1
527,609,330,1,1,1,1
