Organization,Dyn,Func,Dec,,DynFunc,FuncDec,DynDec,Relatedness
007gzs,80,23,51,,1,1,1,1
101,6,62,32,,1,1,1,1
01org,23,58,37,,1,1,1,1
0942v8653,0,7,0,,0,0,0,0
09rohanchopra,0,1,0,,0,0,0,0
09th,0,2,0,,0,0,0,0
0bserver07,0,3,0,,0,0,0,0
0Chencc,55,50,19,,1,1,1,1
0Hughman0,0,4,8,,0,1,0,1
0install,0,1,0,,0,0,0,0
0nirvana0,0,1,0,,0,0,0,0
0ortmann,0,20,0,,0,0,0,0
0todd0000,0,172,9,,0,1,0,1
0x00-0x00,0,1,21,,0,1,0,1
0x1001,1,3,0,,1,0,0,1
0x19,0,2,0,,0,0,0,0
0x7067,0,1,0,,0,0,0,0
0x90,0,2,0,,0,0,0,0
0x9090,0,1,0,,0,0,0,0
0xa,2,22,15,,1,1,1,1
0xbc,0,6,0,,0,0,0,0
0xbug,0,3,0,,0,0,0,0
0xcaff,0,7,0,,0,0,0,0
0xd012,0,2,0,,0,0,0,0
0xdabbad00,0,4,0,,0,0,0,0
0xddaa,0,2,1,,0,1,0,1
0xPhoeniX,0,4,3,,0,1,0,1
0xPoly,0,10,0,,0,0,0,0
0xwindows,8,35,28,,1,1,1,1
100,0,23,15,,0,1,0,1
1001genomes,0,13,11,,0,1,0,1
10177591,0,2,1,,0,1,0,1
1024jp,0,5,4,,0,1,0,1
104corp,0,1,0,,0,0,0,0
10c8,3,7,0,,1,0,0,1
10fish,8,7,0,,1,0,0,1
10gen,4,9,41,,1,1,1,1
10se1ucgo,2,2,2,,1,1,1,1
1200wd,4,33,6,,1,1,1,1
128technology,6,1,0,,1,0,0,1
132nd-etcher,62,64,386,,1,1,1,1
1337,0,20,0,,0,0,0,0
153,1,6,0,,1,0,0,1
15cm,0,2,0,,0,0,0,0
15thnight,2,13,10,,1,1,1,1
17zuoye,0,10,10,,0,1,0,1
18F,0,5,0,,0,0,0,0
1995parham,0,2,8,,0,1,0,1
19po,27,8,2,,1,1,1,1
1a1a11a,3,16,16,,1,1,1,1
1adrianb,1,8,14,,1,1,1,1
1aN0rmus,0,1,7,,0,1,0,1
1and1,6,25,15,,1,1,1,1
1connect,0,3,0,,0,0,0,0
1DC,0,3,0,,0,0,0,0
1dot75cm,2,19,32,,1,1,1,1
1flow,56,36,66,,1,1,1,1
1iyiwei,0,19,0,,0,0,0,0
1kastner,0,3,0,,0,0,0,0
1Ridav,0,1,0,,0,0,0,0
1st,0,1,0,,0,0,0,0
1stvamp,8,6,5,,1,1,1,1
20c,11,5,3,,1,1,1,1
20kly,0,3,0,,0,0,0,0
20n,0,7,2,,0,1,0,1
20tab,7,16,34,,1,1,1,1
23andMe,4,13,6,,1,1,1,1
245967906,3,1,0,,1,0,0,1
255BITS,53,387,1,,1,1,1,1
2buntu,2,5,35,,1,1,1,1
2degrees,0,19,12,,0,1,0,1
2gis,66,127,149,,1,1,1,1
2ndquadrant-it,9,6,20,,1,1,1,1
2p2r,0,1,0,,0,0,0,0
2prime,0,10,0,,0,0,0,0
2sh,0,3,2,,0,1,0,1
314r,0,4,29,,0,1,0,1
317070,3,384,5,,1,1,1,1
34nm,9,1,23,,1,1,1,1
360netlab,0,5,0,,0,0,0,0
360skyeye,5,4,0,,1,0,0,1
3bot,3,2,54,,1,1,1,1
3cky,0,2,2,,0,1,0,1
3D-e-Chem,0,79,1,,0,1,0,1
3DMish,0,2,0,,0,0,0,0
3drobotics,27,14,12,,1,1,1,1
3liz,5,21,36,,1,1,1,1
3Scan,1,47,0,,1,0,0,1
3WiseMen,6,5,0,,1,0,0,1
3YOURMIND,0,11,5,,0,1,0,1
40423143,2,1,6,,1,1,1,1
40423245,12,8,13,,1,1,1,1
4144414D,0,8,0,,0,0,0,0
450586509,0,16,0,,0,0,0,0
475Cumulus,40,14,63,,1,1,1,1
4Catalyzer,8,31,20,,1,1,1,1
4degrees,5,5,2,,1,1,1,1
4dn-dcic,18,113,80,,1,1,1,1
4dsolutions,2,38,42,,1,1,1,1
4k1,0,1,0,,0,0,0,0
4rChon,2,4,4,,1,1,1,1
4shadoww,8,39,23,,1,1,1,1
4thgen,0,1,0,,0,0,0,0
4ZM,3,17,0,,1,0,0,1
500px,0,1,0,,0,0,0,0
50thomatoes50,0,1,1,,0,1,0,1
510908220,1,5,3,,1,1,1,1
51reboot,2,17,30,,1,1,1,1
58daojia-dba,2,7,10,,1,1,1,1
5agado,0,150,51,,0,1,0,1
5alt,1,1,0,,1,0,0,1
5amron,0,1,0,,0,0,0,0
5g-empower,43,59,100,,1,1,1,1
5j9,1,23,11,,1,1,1,1
5monkeys,89,128,209,,1,1,1,1
5nizza,8,124,34,,1,1,1,1
602p,9,7,7,,1,1,1,1
6180,0,3,20,,0,1,0,1
64studio,3,18,0,,1,0,0,1
6809,10,21,2,,1,1,1,1
69495,1,1,0,,1,0,0,1
6aika,19,16,11,,1,1,1,1
6si,3,63,4,,1,1,1,1
72squared,4,8,31,,1,1,1,1
7BISSO,0,2,0,,0,0,0,0
7Elements,0,14,0,,0,0,0,0
7oxicshadow,1,5,0,,1,0,0,1
7Pros,6,5,11,,1,1,1,1
7sDream,26,47,293,,1,1,1,1
7WebPages,0,4,0,,0,0,0,0
82Flex,42,22,20,,1,1,1,1
89berner,0,1,0,,0,0,0,0
8carlosf,0,2,0,,0,0,0,0
8cylinder,0,20,13,,0,1,0,1
8enmann,1,14,1,,1,1,1,1
8u1a,0,1,0,,0,0,0,0
904labs,0,2,0,,0,0,0,0
916253,1,4,0,,1,0,0,1
9468305,0,2,1,,0,1,0,1
99designs,0,7,0,,0,0,0,0
9b,3,10,3,,1,1,1,1
9gix,4,3,0,,1,0,0,1
9miao,6,20,12,,1,1,1,1
9seconds,3,52,23,,1,1,1,1
a-atalla,0,1,0,,0,0,0,0
a-detiste,6,23,37,,1,1,1,1
a-i-joe,0,3,0,,0,0,0,0
a-kr,1,5,7,,1,1,1,1
A-Metaphysical-Drama,0,4,0,,0,0,0,0
a-musing-moose,2,13,4,,1,1,1,1
a-r-g-v,1,14,40,,1,1,1,1
a-ro,0,33,0,,0,0,0,0
a-roomana,2,1,1,,1,1,1,1
a-slide,1,7,10,,1,1,1,1
a10networks,2609,74,152,,1,1,1,1
a270443177,0,2,5,,0,1,0,1
a358003542,0,4,0,,0,0,0,0
a3dev,0,2,0,,0,0,0,0
A3sal0n,0,8,6,,0,1,0,1
a5huynh,0,7,0,,0,0,0,0
a5kin,19,32,29,,1,1,1,1
a7744hsc,2,2,0,,1,0,0,1
aaalgo,4,7,1,,1,1,1,1
aaasen,0,7,0,,0,0,0,0
AAbercrombie0492,0,6,0,,0,0,0,0
aacebedo,0,1,4,,0,1,0,1
Aadeshp,0,1,3,,0,1,0,1
aadishgoel2013,0,1,0,,0,0,0,0
aaiyer,9,23,0,,1,0,0,1
aajanki,3,21,0,,1,0,0,1
aakash4525,0,1,0,,0,0,0,0
aakhundov,3,19,9,,1,1,1,1
aakrosh,0,1,0,,0,0,0,0
aalireza,0,24,0,,0,0,0,0
aalto-cbir,0,17,0,,0,0,0,0
Aalto-LeTech,41,97,54,,1,1,1,1
aalto-speech,2,32,8,,1,1,1,1
aamalev,4,33,27,,1,1,1,1
AampApps,0,3,0,,0,0,0,0
aanari,0,8,0,,0,0,0,0
aancw,0,3,0,,0,0,0,0
aandergr,0,16,1,,0,1,0,1
aanjhan,0,1,0,,0,0,0,0
aanunez,1,7,9,,1,1,1,1
aapit,0,1,0,,0,0,0,0
aapris,0,2,0,,0,0,0,0
aarande,1,5,5,,1,1,1,1
aarchiba,0,40,17,,0,1,0,1
aarddict,0,8,0,,0,0,0,0
aardk,0,4,0,,0,0,0,0
Aardvarky,0,4,0,,0,0,0,0
aaren,0,4,1,,0,1,0,1
aaronbenz,0,2,0,,0,0,0,0
aaroncox,0,2,0,,0,0,0,0
aaronduino,0,30,11,,0,1,0,1
aarongarrett,3,98,12,,1,1,1,1
aaronice,0,1,0,,0,0,0,0
aaronkaplan,0,3,0,,0,0,0,0
AaronKel,22,9,5,,1,1,1,1
AaronLeong,2,2,0,,1,0,0,1
aaronsw,22,100,10,,1,1,1,1
aarontuor,1,9,2,,1,1,1,1
aarose,0,1,8,,0,1,0,1
aarshayj,0,7,3,,0,1,0,1
aartur,5,8,2,,1,1,1,1
aaugustin,34,107,45,,1,1,1,1
aayushmudgal,0,3,0,,0,0,0,0
aayushP,0,21,0,,0,0,0,0
ab24v07,0,3,9,,0,1,0,1
ab93,0,14,0,,0,0,0,0
abactel,0,5,0,,0,0,0,0
abadger,12,39,24,,1,1,1,1
abakan,9,6,6,,1,1,1,1
abaldwin88,0,7,0,,0,0,0,0
abalx,0,6,0,,0,0,0,0
abarker,2,3,0,,1,0,0,1
abarnert,14,63,3,,1,1,1,1
abarto,3,4,4,,1,1,1,1
abau171,0,1,0,,0,0,0,0
abbas123456,0,1,0,,0,0,0,0
abbat,0,3,3,,0,1,0,1
abbbi,2,3,0,,1,0,0,1
AbbeyGames,0,7,0,,0,0,0,0
abbkrish,0,7,0,,0,0,0,0
abbot,0,3,0,,0,0,0,0
abbra,0,2,0,,0,0,0,0
abdesslem,0,5,4,,0,1,0,1
Abdur-rahmaanJ,7,1,0,,1,0,0,1
abecms,0,2,0,,0,0,0,0
AbeelLab,2,27,17,,1,1,1,1
abelcarreras,1,29,25,,1,1,1,1
abelectronicsuk,0,16,7,,0,1,0,1
abelfunctions,1,45,26,,1,1,1,1
AbenezerMamo,1,6,0,,1,0,0,1
abenton,0,18,1,,0,1,0,1
abeoliver,0,3,0,,0,0,0,0
abertal,0,7,2,,0,1,0,1
abertschi,0,8,5,,0,1,0,1
abhi-r3v0,0,1,12,,0,1,0,1
abhi007tyagi,4,5,0,,1,0,0,1
AbhiAgarwal,0,6,2,,0,1,0,1
abhijithanilkumar,1,2,3,,1,1,1,1
abhik,9,45,10,,1,1,1,1
abhikumar22,63,40,149,,1,1,1,1
abhipec,0,21,0,,0,0,0,0
abhishek-ram,2,6,2,,1,1,1,1
abhishek-sehgal954,0,9,0,,0,0,0,0
abhishek0318,0,1,0,,0,0,0,0
abhishekbanthia,0,1,0,,0,0,0,0
abhishekjiitr,0,10,0,,0,0,0,0
abhishekkhandal,0,16,0,,0,0,0,0
abhishekkr,1,2,0,,1,0,0,1
abhisheksugam,0,3,0,,0,0,0,0
abhyudaynj,0,55,0,,0,0,0,0
abid-mujtaba,0,1,0,,0,0,0,0
abilian,102,181,224,,1,1,1,1
abinashmeher999,2,8,7,,1,1,1,1
abingham,0,7,4,,0,1,0,1
abinit,16,67,41,,1,1,1,1
abisee,0,7,3,,0,1,0,1
abishara,5,1,24,,1,1,1,1
Abjad,126,145,643,,1,1,1,1
ableiten,0,5,0,,0,0,0,0
ablil98,2,10,0,,1,0,0,1
Ablinne,2,5,9,,1,1,1,1
Abogical,6,14,0,,1,0,0,1
abogushov,0,1,1,,0,1,0,1
aboood40091,3,4,1,,1,1,1,1
aboSamoor,2,32,27,,1,1,1,1
aboucaud,0,1,0,,0,0,0,0
aboudzakaria,3,1,1,,1,1,1,1
abourget,6,8,1,,1,1,1,1
aboutsajjad,3,45,31,,1,1,1,1
abpy,0,3,0,,0,0,0,0
abrahamnunes,0,17,0,,0,0,0,0
abrahamson,0,3,0,,0,0,0,0
abravalheri,6,4,6,,1,1,1,1
Abraxos,0,4,0,,0,0,0,0
abrenaut,0,12,7,,0,1,0,1
abrt,66,173,95,,1,1,1,1
abseil,5,19,3,,1,1,1,1
absent1706,10,21,39,,1,1,1,1
absoludity,0,1,1,,0,1,0,1
absolute8511,0,5,0,,0,0,0,0
absortium,0,1,39,,0,1,0,1
AbstractClass,0,4,0,,0,0,0,0
AbstractGeek,0,3,0,,0,0,0,0
abstrakraft,0,2,0,,0,0,0,0
abuccts,0,2,0,,0,0,0,0
abulbasar,0,6,0,,0,0,0,0
abulte,0,2,3,,0,1,0,1
abunsen,2,1,1,,1,1,1,1
aburgasser,0,8,0,,0,0,0,0
aburnap,0,8,0,,0,0,0,0
aburrell,0,7,0,,0,0,0,0
abusalimov,2,4,1,,1,1,1,1
abusesa,33,565,31,,1,1,1,1
abw333,0,9,1,,0,1,0,1
abyss7,0,3,0,,0,0,0,0
abytofpy,0,6,0,,0,0,0,0
AcademicTorrents,0,10,2,,0,1,0,1
acatton,8,50,7,,1,1,1,1
ACBL-Bridge,0,25,6,,0,1,0,1
acbraith,1,2,0,,1,0,0,1
AcceleratedCloud,0,8,0,,0,0,0,0
AccentDesign,4,25,23,,1,1,1,1
accerqueira,0,1,1,,0,1,0,1
accosmin,0,10,0,,0,0,0,0
accraze,0,1,0,,0,0,0,0
accre,0,2,0,,0,0,0,0
acdh-oeaw,6,23,5,,1,1,1,1
ace0,6,22,3,,1,1,1,1
acemod,0,2,0,,0,0,0,0
aceofwings,6,7,18,,1,1,1,1
AceSrc,0,29,0,,0,0,0,0
acg,7,6,0,,1,0,0,1
acgessler,0,13,0,,0,0,0,0
acgx,0,59,11,,0,1,0,1
achabotl,0,10,9,,0,1,0,1
achadwick,0,2,11,,0,1,0,1
aChatir,0,1,1,,0,1,0,1
AChep,0,1,0,,0,0,0,0
achiku,0,13,0,,0,0,0,0
achilleas-k,8,9,3,,1,1,1,1
Achilles-96,0,1,0,,0,0,0,0
achillesrasquinha,0,10,0,,0,0,0,0
achimnol,1,9,1,,1,1,1,1
achimr,0,5,0,,0,0,0,0
achow101,0,2,0,,0,0,0,0
achyudhk,0,73,0,,0,0,0,0
acidjunk,0,1,0,,0,0,0,0
acidvegas,0,10,0,,0,0,0,0
AcidWeb,2,1,0,,1,0,0,1
acil-bwh,10,6,20,,1,1,1,1
aclark4life,0,11,0,,0,0,0,0
aclements,2,17,0,,1,0,0,1
aclowes,4,10,11,,1,1,1,1
acmel,0,5,0,,0,0,0,0
acocac,1,16,11,,1,1,1,1
acockburn,0,1,0,,0,0,0,0
acontry,6,10,1,,1,1,1,1
acoomans,1,5,2,,1,1,1,1
acorg,3,42,4,,1,1,1,1
acostasg,0,2,0,,0,0,0,0
acq4,120,212,74,,1,1,1,1
acrazing,5,3,1,,1,1,1,1
AcrDijon,2,20,20,,1,1,1,1
acrisci,11,45,15,,1,1,1,1
Acrisel,1,25,10,,1,1,1,1
ACS-Community,10,1,4,,1,1,1,1
acsone,12,41,7,,1,1,1,1
acsproj,3,2,0,,1,0,0,1
ActiDoo,12,22,5,,1,1,1,1
actionless,19,38,28,,1,1,1,1
activefrequency,10,3,13,,1,1,1,1
ActiveState,619,1541,374,,1,1,1,1
ActivisionGameScience,0,10,4,,0,1,0,1
activityhistory,0,16,1,,0,1,0,1
activitynet,0,4,0,,0,0,0,0
ActivityWatch,0,6,0,,0,0,0,0
actlea,7,43,92,,1,1,1,1
acumb,0,37,7,,0,1,0,1
acutesoftware,5,61,2,,1,1,1,1
acuzzio,0,29,1,,0,1,0,1
acysos,4,15,0,,1,0,0,1
ad-m,3,22,13,,1,1,1,1
AD-Vega,0,5,4,,0,1,0,1
Ad115,1,4,0,,1,0,0,1
AdaCore,0,34,33,,0,1,0,1
adafruit,2,54,41,,1,1,1,1
adakasky,0,21,0,,0,0,0,0
adalbertobrant,0,1,1,,0,1,0,1
adam-h,0,2,0,,0,0,0,0
adam-p,0,12,5,,0,1,0,1
adamalton,7,2,5,,1,1,1,1
adamatan,0,3,0,,0,0,0,0
adamb70,0,4,29,,0,1,0,1
adambiser,0,23,14,,0,1,0,1
adambullmer,2,2,8,,1,1,1,1
adamcath,0,1,0,,0,0,0,0
adamcaudill,3,4,5,,1,1,1,1
adamchainz,43,71,82,,1,1,1,1
adamcharnock,89,124,79,,1,1,1,1
adamcik,3,4,0,,1,0,0,1
adamclmns,2,2,1,,1,1,1,1
adamdempsey90,3,12,0,,1,0,0,1
adamewing,0,8,0,,0,0,0,0
adamfast,0,3,0,,0,0,0,0
adamgilman,0,1,2,,0,1,0,1
adamgreig,0,46,0,,0,0,0,0
adamhadani,0,8,1,,0,1,0,1
adamhajari,0,5,0,,0,0,0,0
adamhaney,5,1,1,,1,1,1,1
AdamISZ,1,13,10,,1,1,1,1
adamkovics,0,21,0,,0,0,0,0
AdamLabISU,1,3,0,,1,0,0,1
adamlamers,0,8,32,,0,1,0,1
adamlwgriffiths,10,3,0,,1,0,0,1
adammoss,0,9,0,,0,0,0,0
adamreeve,3,6,14,,1,1,1,1
AdamStone,0,19,4,,0,1,0,1
Adamtaranto,0,4,0,,0,0,0,0
adamtheturtle,0,5,12,,0,1,0,1
adamtornhill,0,5,0,,0,0,0,0
adamwalz,2,14,4,,1,1,1,1
adamwiggins,9,35,13,,1,1,1,1
adamyedidia,0,8,0,,0,0,0,0
adamzap,0,1,0,,0,0,0,0
adamziel,28,133,3,,1,1,1,1
adapt-sjtu,0,4,0,,0,0,0,0
adaptive-learning,6,45,7,,1,1,1,1
AdaptivePELE,10,84,3,,1,1,1,1
AdaptiveScale,0,4,19,,0,1,0,1
adaptivethreat,0,1,0,,0,0,0,0
Adarnof,0,3,12,,0,1,0,1
adarob,0,17,0,,0,0,0,0
AdaSupport,0,2,0,,0,0,0,0
adblair,4,5,4,,1,1,1,1
adblockplus,0,3,0,,0,0,0,0
