Dyn,Func,Dec,DynFunc,FuncDec,DynDec,Relatedness
0,5,0,0,0,0,0
1054,1208,660,1,1,1,1
0,5,0,0,0,0,0
0,5,0,0,0,0,0
13,194,37,1,1,1,1
0,11,5,0,1,0,1
0,1,0,0,0,0,0
3,10,0,1,0,0,1
0,5,0,0,0,0,0
730,1132,657,1,1,1,1
19,26,0,1,0,0,1
2,9,2,1,1,1,1
5,10,0,1,0,0,1
24,207,178,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
0,5,0,0,0,0,0
1061,1208,660,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,2,0,0,0,0,0
0,1,0,0,0,0,0
3,18,2,1,1,1,1
43,137,35,1,1,1,1
0,2,2,0,1,0,1
0,0,2,0,0,0,0
10,21,1,1,1,1,1
0,2,1,0,1,0,1
0,0,12,0,0,0,0
0,21,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,4,0,0,0,0,0
0,1,0,0,0,0,0
34,66,10,1,1,1,1
0,2,4,0,1,0,1
0,2,2,0,1,0,1
0,10,0,0,0,0,0
0,11,2,0,1,0,1
1,0,2,0,0,1,1
0,2,0,0,0,0,0
2,26,35,1,1,1,1
0,36,2,0,1,0,1
0,48,4,0,1,0,1
0,11,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,5,0,0,0,0,0
0,17,0,0,0,0,0
0,4,0,0,0,0,0
0,81,0,0,0,0,0
10,32,28,1,1,1,1
0,1,0,0,0,0,0
0,5,0,0,0,0,0
2,2,4,1,1,1,1
0,3,6,0,1,0,1
7,28,0,1,0,0,1
0,0,2,0,0,0,0
0,0,2,0,0,0,0
0,10,0,0,0,0,0
1,0,0,0,0,0,0
0,2,10,0,1,0,1
0,1,0,0,0,0,0
0,6,0,0,0,0,0
0,2,0,0,0,0,0
959,1106,608,1,1,1,1
481,524,300,1,1,1,1
876,974,600,1,1,1,1
0,1,0,0,0,0,0
0,5,0,0,0,0,0
0,5,0,0,0,0,0
477,562,309,1,1,1,1
477,527,308,1,1,1,1
0,1,0,0,0,0,0
1,0,0,0,0,0,0
477,527,308,1,1,1,1
0,5,0,0,0,0,0
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,7,0,0,0,0,0
0,1,0,0,0,0,0
0,5,0,0,0,0,0
0,5,0,0,0,0,0
0,1,0,0,0,0,0
0,5,0,0,0,0,0
0,5,0,0,0,0,0
0,5,0,0,0,0,0
0,5,0,0,0,0,0
0,2,0,0,0,0,0
0,4,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,5,0,0,0,0,0
0,5,0,0,0,0,0
1588,1813,990,1,1,1,1
0,1,0,0,0,0,0
0,5,0,0,0,0,0
1588,1812,990,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
1054,1208,660,1,1,1,1
0,5,0,0,0,0,0
1054,1208,660,1,1,1,1
0,5,0,0,0,0,0
1054,1208,660,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
1061,1208,660,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
527,609,330,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,10,0,0,0,0,0
1054,1208,660,1,1,1,1
0,75,0,0,0,0,0
10013,11476,6270,1,1,1,1
527,609,330,1,1,1,1
0,10,0,0,0,0,0
0,25,0,0,0,0,0
3162,3624,1980,1,1,1,1
2097,2507,1013,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,3,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,3,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,4,0,0,0,0,0
0,1,0,0,0,0,0
0,5,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,4,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,4,0,0,0,0,0
0,3,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,4,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
8,15,1,1,1,1,1
8,8,0,1,0,0,1
8,15,1,1,1,1,1
8,15,1,1,1,1,1
8,8,0,1,0,0,1
8,15,1,1,1,1,1
120,204,12,1,1,1,1
0,0,1,0,0,0,0
1,16,35,1,1,1,1
8,15,1,1,1,1,1
0,12,0,0,0,0,0
4,64,140,1,1,1,1
120,225,15,1,1,1,1
0,1,0,0,0,0,0
8,15,1,1,1,1,1
0,1,0,0,0,0,0
8,15,1,1,1,1,1
0,1,0,0,0,0,0
8,15,1,1,1,1,1
0,1,0,0,0,0,0
8,15,1,1,1,1,1
0,1,0,0,0,0,0
8,15,1,1,1,1,1
0,10,12,0,1,0,1
0,2,0,0,0,0,0
0,7,0,0,0,0,0
1,0,3,0,0,1,1
5,5,13,1,1,1,1
1,1,13,1,1,1,1
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,13,0,0,0,0,0
0,4,0,0,0,0,0
0,0,3,0,0,0,0
56,0,182,0,0,1,1
0,3,0,0,0,0,0
73,218,34,1,1,1,1
136,234,14,1,1,1,1
56,0,182,0,0,1,1
8,15,1,1,1,1,1
0,2,0,0,0,0,0
0,4,0,0,0,0,0
0,2,0,0,0,0,0
0,0,2,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,5,0,0,0,0,0
0,6,0,0,0,0,0
0,6,0,0,0,0,0
1,1,0,1,0,0,1
0,5,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,1,0,0,1
0,4,0,0,0,0,0
43,53,28,1,1,1,1
0,4,0,0,0,0,0
0,1,0,0,0,0,0
4,13,0,1,0,0,1
5,59,0,1,0,0,1
0,0,1,0,0,0,0
1,8,0,1,0,0,1
0,3,0,0,0,0,0
1,4,0,1,0,0,1
0,0,1,0,0,0,0
0,18,0,0,0,0,0
0,4,0,0,0,0,0
0,6,0,0,0,0,0
0,8,0,0,0,0,0
0,34,0,0,0,0,0
0,15,0,0,0,0,0
0,5,0,0,0,0,0
0,4,0,0,0,0,0
1,4,0,1,0,0,1
0,6,1,0,1,0,1
0,2,0,0,0,0,0
0,4,0,0,0,0,0
5,13,2,1,1,1,1
0,5,0,0,0,0,0
5,0,5,0,0,1,1
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,5,0,0,0,0,0
0,4,0,0,0,0,0
0,5,0,0,0,0,0
1056,1208,660,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
527,604,330,1,1,1,1
527,604,330,1,1,1,1
0,5,0,0,0,0,0
0,5,0,0,0,0,0
0,5,0,0,0,0,0
527,604,330,1,1,1,1
0,5,0,0,0,0,0
0,1,0,0,0,0,0
8,16,1,1,1,1,1
0,1,0,0,0,0,0
2,0,0,0,0,0,0
250,556,252,1,1,1,1
1,0,0,0,0,0,0
5,1,2,1,1,1,1
0,1,2,0,1,0,1
0,2,0,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,2,1,0,1,0,1
0,5,0,0,0,0,0
0,2,4,0,1,0,1
0,1,0,0,0,0,0
26,25,0,1,0,0,1
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,5,0,1,0,0,1
0,5,0,0,0,0,0
0,1,0,0,0,0,0
7,1,5,1,1,1,1
0,16,0,0,0,0,0
0,3,0,0,0,0,0
0,1,0,0,0,0,0
0,3,1,0,1,0,1
1,0,10,0,0,1,1
0,1,0,0,0,0,0
0,4,0,0,0,0,0
0,4,0,0,0,0,0
0,6,0,0,0,0,0
0,1,12,0,1,0,1
1,0,10,0,0,1,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
6,17,3,1,1,1,1
0,13,0,0,0,0,0
8,94,2,1,1,1,1
10,3,114,1,1,1,1
2,9,3,1,1,1,1
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,5,0,0,0,0,0
0,2,0,0,0,0,0
0,0,4,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,4,0,0,0,0,0
0,0,3,0,0,0,0
2,8,22,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,4,2,0,1,0,1
0,0,2,0,0,0,0
0,0,2,0,0,0,0
0,1,3,0,1,0,1
0,2,3,0,1,0,1
0,0,1,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
5,20,0,1,0,0,1
1,1,0,1,0,0,1
0,2,0,0,0,0,0
0,5,0,0,0,0,0
0,1,0,0,0,0,0
2,0,0,0,0,0,0
0,1,0,0,0,0,0
3,7,0,1,0,0,1
179,456,0,1,0,0,1
0,2,0,0,0,0,0
31,22,30,1,1,1,1
56,21,0,1,0,0,1
0,0,3,0,0,0,0
10,1,0,1,0,0,1
0,2,0,0,0,0,0
3,39,13,1,1,1,1
1,0,0,0,0,0,0
2,0,0,0,0,0,0
0,1,1,0,1,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,1,0,1,0,0,1
0,24,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,5,0,0,0,0,0
1,0,0,0,0,0,0
4,9,0,1,0,0,1
2,6,0,1,0,0,1
0,4,0,0,0,0,0
0,0,16,0,0,0,0
6,130,3,1,1,1,1
0,25,424,0,1,0,1
0,2,0,0,0,0,0
0,22,0,0,0,0,0
13,55,23,1,1,1,1
0,1,2,0,1,0,1
1,1,0,1,0,0,1
2,3,0,1,0,0,1
19,30,41,1,1,1,1
0,0,1,0,0,0,0
5,23,55,1,1,1,1
0,3,0,0,0,0,0
0,4,27,0,1,0,1
81,142,123,1,1,1,1
0,6,0,0,0,0,0
571,1128,3063,1,1,1,1
1,74,54,1,1,1,1
2,0,0,0,0,0,0
20,74,2,1,1,1,1
2,1,0,1,0,0,1
0,9,0,0,0,0,0
0,1,0,0,0,0,0
0,3,0,0,0,0,0
0,1,0,0,0,0,0
0,5,0,0,0,0,0
0,3,0,0,0,0,0
0,4,0,0,0,0,0
1,3,0,1,0,0,1
0,1,0,0,0,0,0
5,10,5,1,1,1,1
0,19,5,0,1,0,1
15,3,1,1,1,1,1
1,1,2,1,1,1,1
0,1,0,0,0,0,0
6,4,6,1,1,1,1
1,1,0,1,0,0,1
0,1,0,0,0,0,0
6,4,6,1,1,1,1
1,1,0,1,0,0,1
0,32,0,0,0,0,0
0,6,0,0,0,0,0
4,0,0,0,0,0,0
8,10,0,1,0,0,1
1,0,0,0,0,0,0
0,1,2,0,1,0,1
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,7,0,0,0,0,0
0,7,0,0,0,0,0
52,135,44,1,1,1,1
0,0,1,0,0,0,0
0,4,1,0,1,0,1
0,10,0,0,0,0,0
0,16,0,0,0,0,0
0,2,7,0,1,0,1
0,0,32,0,0,0,0
0,12,0,0,0,0,0
0,5,0,0,0,0,0
0,7,0,0,0,0,0
0,5,11,0,1,0,1
0,46,0,0,0,0,0
0,10,0,0,0,0,0
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,3,4,0,1,0,1
0,5,0,0,0,0,0
14,107,19,1,1,1,1
0,2,0,0,0,0,0
0,8,0,0,0,0,0
0,1,0,0,0,0,0
0,13,0,0,0,0,0
0,1,8,0,1,0,1
0,6,0,0,0,0,0
0,1,6,0,1,0,1
0,1,4,0,1,0,1
3,7,4,1,1,1,1
0,0,2,0,0,0,0
9,7,12,1,1,1,1
0,0,13,0,0,0,0
0,5,0,0,0,0,0
0,5,0,0,0,0,0
0,9,1,0,1,0,1
3,9,9,1,1,1,1
0,1,0,0,0,0,0
0,0,9,0,0,0,0
0,0,3,0,0,0,0
5,36,10,1,1,1,1
44,107,31,1,1,1,1
4,40,0,1,0,0,1
0,4,0,0,0,0,0
2,0,0,0,0,0,0
7,218,119,1,1,1,1
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,1,0,0,1
0,8,0,0,0,0,0
1,0,0,0,0,0,0
0,0,4,0,0,0,0
0,11,0,0,0,0,0
1,6,0,1,0,0,1
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,4,0,0,0,0,0
2,10,0,1,0,0,1
2,16,1,1,1,1,1
10,20,0,1,0,0,1
0,44,0,0,0,0,0
0,9,0,0,0,0,0
10,224,5,1,1,1,1
10,355,0,1,0,0,1
5,150,0,1,0,0,1
0,30,0,0,0,0,0
0,3,0,0,0,0,0
12,38,3,1,1,1,1
0,68,0,0,0,0,0
0,8,0,0,0,0,0
0,6,0,0,0,0,0
0,6,0,0,0,0,0
5,157,9,1,1,1,1
0,504,0,0,0,0,0
2,13,0,1,0,0,1
2,250,0,1,0,0,1
0,18,0,0,0,0,0
0,3,0,0,0,0,0
26,119,39,1,1,1,1
0,2,0,0,0,0,0
0,1,1,0,1,0,1
0,3,0,0,0,0,0
0,2,1,0,1,0,1
0,24,0,0,0,0,0
0,105,0,0,0,0,0
0,1,0,0,0,0,0
0,5,1,0,1,0,1
0,5,13,0,1,0,1
0,3,0,0,0,0,0
0,2,0,0,0,0,0
0,1,1,0,1,0,1
3,21,0,1,0,0,1
0,3,0,0,0,0,0
0,3,0,0,0,0,0
7,0,0,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,4,0,0,0,0,0
9,9,0,1,0,0,1
0,38,2,0,1,0,1
0,12,0,0,0,0,0
0,26,0,0,0,0,0
0,53,0,0,0,0,0
0,29,1,0,1,0,1
5,0,0,0,0,0,0
0,2,0,0,0,0,0
0,28,0,0,0,0,0
0,16,0,0,0,0,0
0,91,0,0,0,0,0
0,3,1,0,1,0,1
1,0,0,0,0,0,0
0,89,2,0,1,0,1
0,2,2,0,1,0,1
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,10,0,0,0,0,0
0,4,2,0,1,0,1
0,29,0,0,0,0,0
0,4,0,0,0,0,0
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,6,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,1,0,0,0,0
4,19,0,1,0,0,1
1,2,0,1,0,0,1
0,1,0,0,0,0,0
2,20,1,1,1,1,1
0,12,0,0,0,0,0
1,0,0,0,0,0,0
0,10,0,0,0,0,0
0,2,0,0,0,0,0
0,2,0,0,0,0,0
4,9,0,1,0,0,1
0,23,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,13,0,0,0,0,0
0,1,0,0,0,0,0
0,3,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,13,0,0,0,0,0
1,1,0,1,0,0,1
0,6,0,0,0,0,0
0,8,0,0,0,0,0
0,1,0,0,0,0,0
0,3,0,0,0,0,0
0,8,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,4,0,0,0,0,0
0,5,1,0,1,0,1
0,14,0,0,0,0,0
0,3,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,3,0,0,0,0,0
1,3,0,1,0,0,1
0,2,0,0,0,0,0
0,3,0,0,0,0,0
0,3,0,0,0,0,0
0,1,0,0,0,0,0
0,4,0,0,0,0,0
0,4,3,0,1,0,1
0,1,0,0,0,0,0
0,28,0,0,0,0,0
0,5,0,0,0,0,0
1,0,1,0,0,1,1
4,43,7,1,1,1,1
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,0,3,0,0,0,0
0,2,0,0,0,0,0
109,197,115,1,1,1,1
0,4,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
3,3,0,1,0,0,1
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,29,42,0,1,0,1
0,3,0,0,0,0,0
2,20,50,1,1,1,1
0,5,0,0,0,0,0
0,1,0,0,0,0,0
0,27,0,0,0,0,0
0,9,0,0,0,0,0
0,1,0,0,0,0,0
10,5,0,1,0,0,1
0,1,0,0,0,0,0
0,3,1,0,1,0,1
9,35,0,1,0,0,1
0,3,0,0,0,0,0
0,1,0,0,0,0,0
0,10,0,0,0,0,0
0,4,0,0,0,0,0
1,3,0,1,0,0,1
14,84,130,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
6,28,0,1,0,0,1
0,3,0,0,0,0,0
0,4,0,0,0,0,0
0,3,0,0,0,0,0
4,29,34,1,1,1,1
0,2,0,0,0,0,0
649,1097,201,1,1,1,1
0,6,0,0,0,0,0
29,34,1,1,1,1,1
0,1,0,0,0,0,0
0,13,0,0,0,0,0
0,7,0,0,0,0,0
0,5,0,0,0,0,0
0,2,0,0,0,0,0
10,8,4,1,1,1,1
7,2,0,1,0,0,1
0,4,1,0,1,0,1
0,2,0,0,0,0,0
0,1,1,0,1,0,1
36,44,40,1,1,1,1
1,2,0,1,0,0,1
34,9,12,1,1,1,1
0,5,0,0,0,0,0
0,14,0,0,0,0,0
0,19,9,0,1,0,1
3,1,6,1,1,1,1
0,3,0,0,0,0,0
0,14,0,0,0,0,0
0,5,0,0,0,0,0
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,3,1,0,1,0,1
1,0,0,0,0,0,0
0,1,13,0,1,0,1
0,0,3,0,0,0,0
11,12,6,1,1,1,1
0,1,0,0,0,0,0
24,3,56,1,1,1,1
1,6,8,1,1,1,1
5,2,53,1,1,1,1
0,5,3,0,1,0,1
3,26,10,1,1,1,1
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
2,1,2,1,1,1,1
0,1,0,0,0,0,0
5,15,47,1,1,1,1
0,0,2,0,0,0,0
0,1,0,0,0,0,0
41,59,30,1,1,1,1
0,11,0,0,0,0,0
0,3,0,0,0,0,0
0,0,3,0,0,0,0
3,9,0,1,0,0,1
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,0,3,0,0,0,0
0,1,0,0,0,0,0
11,29,5,1,1,1,1
0,11,0,0,0,0,0
3,5,0,1,0,0,1
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,3,2,0,1,0,1
0,0,1,0,0,0,0
0,15,0,0,0,0,0
0,3,0,0,0,0,0
0,8,0,0,0,0,0
0,5,0,0,0,0,0
0,8,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
1,0,0,0,0,0,0
0,5,0,0,0,0,0
18,178,176,1,1,1,1
0,3,0,0,0,0,0
0,1,0,0,0,0,0
0,6,2,0,1,0,1
1,1,0,1,0,0,1
1,11,0,1,0,0,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,18,0,0,0,0,0
0,29,0,0,0,0,0
0,3,0,0,0,0,0
0,6,6,0,1,0,1
0,9,0,0,0,0,0
2,7,0,1,0,0,1
0,4,0,0,0,0,0
7,4,1,1,1,1,1
0,1,0,0,0,0,0
0,2,0,0,0,0,0
793,2230,1944,1,1,1,1
4,55,76,1,1,1,1
