"funcname","freq"
self,996378
open,285445
mock,118734
ValueError,113805
ops,87564
pytest,84163
patch,60485
TypeError,47913
tf,43674
os,40505
connection,35299
filename,32763
path,30085
warnings,29505
name,26391
Mock,21921
msg,21227
session,20919
ValidationError,19239
transaction,18777
variable_scope,17986
Exception,17608
translation,17318
app,17186
context,16234
errors,14175
support,12929
AttributeError,12802
g,12541
contextlib,12171
AssertionError,11957
TemplateSyntaxError,11528
RuntimeError,11191
io,10936
KeyError,10454
