"Organization","DynCount","FuncCount","DecCount"
"1129069366","826","1272","939"
"16348104","193","239","343"
"3N4N","36","83","205"
"54696d654a6f6c74","1","2","10"
"7cm-diameter","0","4","9"
"8lue5ky","0","8","1"
"9ziggy9","1","1","3"
aaPanel,"4","10","8"
aaronwmorris,"7","27","12"
aayushaman4,"229","182","77"
abavoil,"0","7","7"
AbdulWahab321,"4","3","1"
abhijithnraj,"0","2","4"
AbhinavAtrishi,"0","0","17"
AbhinavMV,"0","45","6"
abhinavsingh,"5","23","58"
abhishekkrthakur,"1","0","8"
abraker-osu,"0","11","12"
AbrarAlzubaidi,"0","0","7"
abriggs914,"2622","5725","2511"
abutlerboudakian,"1","7","2"
achael,"16","776","31"
achaglov,"20","35","196"
adagrad,"0","19","1"
adamchainz,"20","3","11"
addb-swstarlab,"1","31","21"
adesokandijam,"1616","2559","2343"
AdityaGarg00,"0","0","3"
adonaifariasdev,"621","1073","734"
adrianrusu16,"620","1066","796"
adrien-obrecht,"623","1079","721"
adw0rd,"7","73","13"
AE0L,"0","15","2"
Aegis100,"17","120","13"
Aevann1,"13","112","358"
afkhurana,"0","1","6"
aghlichl,"60","88","104"
agravier,"3","11","3"
ahhy3on,"1","61","15"
ahomedelnagm,"0","0","3"
AIasd,"35","481","139"
aicampkr,"6","64","31"
aidanabekova,"621","1073","735"
aidlearning,"0","7","2"
aineniamh,"2","5","1"
aio-libs,"41","116","289"
airbnb,"25","133","206"
ajbrock,"12","7","1"
ajenti,"25","62","61"
akashsengupta1997,"0","20","2"
akimich11,"0","3","4"
akoen,"0","6","6"
aladdinpersson,"1","84","2"
Alashcoder,"219","162","335"
albumentations-team,"18","116","143"
albunus,"674","1258","877"
aleasoluciones,"2","16","4"
aleju,"221","871","817"
AlessandroZ,"7","274","36"
Alexey-T,"266","400","177"
alexforencich,"84","31","22"
AlexFoxalt,"4","8","8"
AlexisGuanique,"0","0","3"
alexkyllo,"0","15","2"
alexmercerind,"0","0","13"
Alfredchong260,"1878","3725","1677"
alicevision,"32","292","77"
aligholami,"3","231","15"
alirezamika,"7","15","8"
all-eviate,"0","0","11"
allegroai,"305","725","698"
allenporter,"1","4","80"
allku,"0","1","1"
Almog12497,"0","0","1"
alphauslabs,"0","0","79"
altair-viz,"51","98","48"
alteryx,"49","1171","211"
altf4,"0","0","1"
alzed,"0","0","7"
amirDahari1,"0","6","3"
amirriazdwh,"908","1373","1025"
amogorkon,"23","94","17"
AmosChenZixuan,"0","4","2"
amperser,"0","5","181"
amzn,"31","173","157"
anandrajaram21,"3","40","4"
anatali,"503","874","724"
ancoreraj,"3","252","44"
andredelft,"0","5","4"
andreoliwa,"0","4","3"
andretgsilveira,"1605","2486","2280"
andrewthederp,"5","10","4"
AndrStp,"9","198","30"
AndydeCleyre,"3","0","3"
angr,"268","1446","1037"
AnishLohiya,"0","1","8"
ankitects,"56","298","160"
annakarolinafranz,"274","519","374"
Annaliskirwa,"0","0","7"
Anorov,"2","5","5"
AnossaTG,"38","28","60"
Anselmoo,"1","27","18"
ansible,"513","1077","751"
ansibleguy,"0","0","3"
antiboredom,"0","15","7"
antonioverdi,"274","2256","559"
antonstechde,"0","0","2"
AntreasAntoniou,"1","21","1"
anujmore137,"0","0","1"
aonopko,"3","2","7"
apache,"775","5823","3776"
aParthemer,"0","15","17"
apchenstu,"2","6","8"
apple,"130","1331","807"
APSL,"17","1","9"
aptise,"11","181","219"
aranibar28,"0","1","2"
archatas,"1","2","2"
ArchiveBox,"8","232","176"
archlinux,"34","48","27"
archont58,"0","8","2"
Arclight-V,"5340","6951","5413"
Arham4,"1256","1355","1159"
Arinkoro,"3","8","20"
arizvisa,"175","773","1259"
ArkenStorm,"1","10","4"
ARM-software,"0","14","5"
ArnaudDorval,"1945","3910","1872"
ArnavPag,"823","1285","1025"
arogozhnikov,"21","37","10"
aroman,"1","2","1"
arrow-py,"13","15","43"
artemZiliboba,"763","1140","925"
artisan-roaster-scope,"365","511","153"
asafyeshoa,"273","519","365"
ashnkumar,"0","5","11"
ashwinstr,"9","57","62"
AsnanAshfaq,"404","514","311"
AssiNET,"6","7","19"
astorfi,"0","3","3"
astro3141,"0","1","6"
astropy,"1442","1532","1958"
asugubkin,"2","0","1"
atlanhq,"2","70","17"
atmos-cloud-sim-uj,"36","69","295"
Atrocious-Mirror-Bot,"5","7","17"
Aurian-Nogues,"0","11","12"
ausikek,"0","0","1"
auto-mat,"25","131","17"
automl,"163","335","212"
autotest,"124","540","99"
avalentino,"4","7","8"
avinassh,"0","3","1"
aws,"274","1117","1886"
awslabs,"2","24","11"
axi0mX,"21","24","16"
AyazNakhudaGitHub,"0","13","2"
aymankhder,"0","1","1"
aymene98,"0","1","5"
Azerty6,"0","0","1"
Azure,"1120","2792","980"
b-ryan,"5","8","1"
bachiraoun,"22","166","27"
badook-ai,"7","9","57"
bandit145,"1","3","1"
Bangtx,"621","1066","796"
BaoNghia,"15","22","1"
baowenbo,"3","52","26"
barabarinov,"0","21","12"
bashu,"2","1","4"
basxsoftwareassociation,"119","123","30"
Baynrich,"2787","5550","3606"
bbfamily,"69","33","15"
BDDoylan,"1126","1664","1994"
bear245,"0","1","2"
Belikov-qq,"1943","4660","1557"
benchopt,"26","64","37"
BenjiBoy926,"26","25","8"
benoitc,"56","53","27"
benwatson528,"0","4","3"
berkanlafci,"0","0","21"
bethanHutt,"0","0","1"
BetOnJeanette,"6","0","4"
BhaveshTheCoder,"1746","2568","1423"
bhimeshchauhan,"0","114","11"
bhky,"0","32","1"
Bhuwan-web,"0","28","4"
bigbr4in0614,"0","3","2"
BinaryDancer,"34","170","123"
binref,"61","555","280"
biolab,"219","1469","702"
Biscaldi-Iv,"0","5","2"
bityob,"0","2","7"
bkovitz,"66","274","350"
blackjack4494,"46","660","200"
BLCM,"10","159","19"
blitzmann,"2","83","7"
bloxlink,"78","116","25"
blueardour,"27","211","23"
boatbod,"29","78","22"
bolsssh,"0","0","1"
Bosti2101,"0","6","2"
bothub-it,"0","28","16"
boto,"505","283","207"
bottlepy,"13","69","2"
bottlesdevs,"1","24","55"
BoughezalaMohamedAimen,"0","25","1"
bounswe,"0","4","3"
box,"28","87","315"
bpython,"58","92","49"
brendsupport,"1","41","3"
bridgecrewio,"19","672","177"
brightmart,"0","80","3"
broniyasinnik,"0","7","1"
brsynth,"0","3","12"
brtkev,"0","0","2"
BrunoCostaPrado,"621","1078","734"
brython-dev,"2450","3146","1509"
BudacaB,"0","5","6"
budinev,"54","130","71"
burnash,"1","36","32"
BusTree,"621","1066","796"
butzemannn,"1","1","13"
bv9306,"43","14","12"
bwoodsend,"25","42","15"
byt3bl33d3r,"41","16","10"
c-eg,"0","3","1"
C-O-M-M-A,"8","56","283"
c-proof,"5","21","5"
cabernetwork,"9","46","75"
Cadene,"1","26","1"
cal-itp,"4","32","5"
caleberi,"1","24","3"
calvinchankf,"2","176","2"
camelrush,"270","168","150"
CamilaFerrer,"271","220","376"
canatella,"0","7","5"
canonical-ols,"54","57","57"
Captain-Slippers,"822","1380","1029"
careBT,"17","0","24"
caronc,"69","195","136"
carpedkm,"0","5","3"
carpentries-incubator,"0","34","26"
caseyjohn47,"1708","2597","2713"
castillocodes,"0","2","5"
castorini,"10","179","52"
ccal2,"0","6","6"
CcgAlberta,"49","104","29"
ccrisan,"12","70","11"
CellProfiler,"115","1175","292"
centuri-engineering,"4","9","7"
Ceres445,"0","7","10"
CERNDocumentServer,"13","80","187"
chainer,"510","1673","480"
chan-bam,"0","1","11"
ChanTerelLy,"1","10","4"
chao813,"0","1","1"
Charcoal-SE,"4","18","26"
charlesreiss,"5","12","51"
chatopera,"3","89","3"
cherycal,"0","7","22"
Chia-Network,"44","455","459"
chico-moura,"0","10","11"
chimera-linux,"46","26","8"
chm24k,"617","1072","735"
choinara0,"624","982","717"
ChristianPerez34,"0","2","5"
cielak,"0","36","3"
Ciphey,"3","36","163"
civictechsweden,"0","20","7"
cjtsui,"12","111","72"
cknolla,"7","11","5"
ckoerber,"13","36","4"
cleanlab,"16","218","1"
clementchadebec,"0","169","58"
clips,"83","611","296"
clomia,"0","1","1"
cloudblue,"25","43","158"
cloudtools,"13","13","8"
cloudwithax,"2","8","23"
code-for-good-wm,"1","4","5"
codeaudio,"0","1","8"
codelucas,"4","88","76"
comic,"52","334","313"
commaai,"143","309","343"
compas-dev,"3","35","109"
ComPWA,"1","68","39"
conan-io,"239","638","865"
conda-forge,"2","38","1"
conestack,"6","41","263"
confar,"8","18","14"
ConnectBox,"59","70","29"
constverum,"1","53","19"
ContextLab,"12","4","34"
ContinualAI,"40","221","80"
coreylammie,"26","38","6"
corybell,"0","0","3"
CouchPotato,"437","610","226"
coursera-dl,"3","21","3"
covid-projections,"9","279","227"
cpatrasciuc,"2","263","94"
crealitycloud,"1","0","1"
Creator-SN,"12","33","5"
crisliavh-10,"0","0","4"
cron1s,"3","3","1"
crossjam,"1","58","6"
crowdbotics-apps,"3","1","1"
CSAILVision,"1","44","6"
csecht,"0","7","1"
csfenghan,"14","27","9"
csgn,"0","0","8"
cstsunfu,"2","6","15"
cupy,"276","676","84"
cwhy,"0","124","155"
cyberark,"13","4","78"
cypypccpy,"4","10","7"
cyrustabatab,"2","162","55"
cython,"268","708","148"
D-kn,"83","67","32"
D3KRISH,"7","61","5"
daalgi,"0","58","17"
dabeaz-course,"26","159","44"
daddycocoaman,"0","2137","301"
DamianOzdoba,"262","225","392"
damonallison,"0","19","4"
damonlynch,"24","127","77"
danielwilczak101,"43","23","61"
Danilo802,"1929","3469","3021"
Danoishere,"6","88","5"
darkwyrm,"1","4","2"
DarviL82,"0","2","12"
darwinai,"0","0","3"
dask,"437","2026","325"
DataBiosphere,"42","453","762"
databricks-academy,"0","1","2"
DataDog,"840","875","428"
DaveN53,"0","15","24"
DavHau,"0","12","2"
David-Lor,"0","0","5"
davidackerman,"1","25","4"
davidalvarezdlt,"0","3","2"
davidcawork,"0","3","3"
davidhalter,"46","686","222"
davidju4717,"1107","1453","1203"
davidsandberg,"0","54","10"
DayNice,"0","18","1"
dbader,"2","3","20"
dbca-wa,"23","71","36"
dbinetti,"3","1","11"
dceoy,"0","86","14"
dddomodossola,"96","37","259"
deacon-ralph,"0","2","12"
deanishe,"8","57","31"
debian-calibre,"16","81","23"
deepmind,"235","1358","239"
deepmipt,"62","1032","247"
deis,"12","25","6"
demisto,"87","2561","909"
DemPried,"867","1268","986"
DenyKrasH,"275","237","377"
dermatologist,"0","1","18"
derrod,"6","58","59"
desihub,"43","77","21"
determined-ai,"85","732","159"
devbored,"0","183","3"
dfint,"0","41","27"
DiAlejandroBarriosg,"1242","2146","1468"
Dianka759,"0","0","12"
dieantu,"68","113","456"
DiegoLCFelipe,"0","1","6"
Digital-Prophets,"2","3","1"
digitalec,"0","71","51"
dilannery,"0","2","1"
DiMarzioRock7,"0","4","2"
dimchat,"1","6","227"
diofant,"200","4706","1237"
Dioptas,"9","54","71"
diwu1990,"2","39","6"
django,"1406","2228","1411"
django-cms,"285","223","135"
django-extensions,"212","177","79"
django-mptt,"200","36","33"
djangsters,"1","15","7"
dkarageo,"22","80","9"
DLR-RM,"24","148","56"
dmaccarthy,"64","105","187"
DmitryBilas,"0","0","1"
dmlc,"135","1370","633"
dmyersturnbull,"23","99","226"
Dobiasd,"8","4","5"
doccano,"20","60","70"
docker,"22","110","123"
docopt,"0","1","2"
dolho,"2","0","3"
Dolikhena,"7","108","42"
domdfcoding,"28","58","75"
dominiclopez391,"0","0","1"
dominik-limbach,"3204","6623","2856"
domlysz,"94","286","150"
donakunn,"0","50","2"
dongnguyen1999,"0","2","1"
dongxuemin666,"10","44","20"
donnemartin,"289","453","427"
doongu,"0","0","1"
dpkp,"71","195","147"
Dranoxgithub,"0","12","1"
dreki,"2","0","2"
drivendataorg,"10","31","29"
drMJ,"6","5","54"
dschenck,"3","38","6"
dscorbett,"1","67","58"
dssecret,"0","1","63"
dstaltman,"0","0","6"
duck-dynasty,"3","35","24"
ductranprof99,"0","0","2"
dudejrtjdrp,"1791","2554","2569"
dulucas,"19","117","8"
dvillacis,"0","8","1"
Dvrki,"0","0","1"
dylanaraps,"3","23","13"
ebijun1007,"0","5","2"
ECCC-MSC,"12","70","1"
ed-ortizm,"0","8","2"
Ed-XCF,"0","23","1"
eda-ricercatore,"1","76","430"
edeng23,"0","21","5"
edgedb,"236","865","584"
edmund-zhao,"0","2","3"
edonghyun,"0","0","3"
edutech-groove,"7","1","7"
edx,"1087","2579","3198"
eklavyadahiya,"1","6","3"
ekzm8523,"1","63","2"
El-Mendez,"0","0","5"
elibroftw,"2","86","3"
EligaServices,"23","26","7"
elormmay,"0","0","4"
Eloston,"9","40","27"
elvish7,"27","37","10"
EmekaMomodu,"0","2","10"
emeryberger,"7","33","5"
encode,"68","356","116"
Ender2K89,"7","38","6"
Engineering-Course,"5","22","19"
enjlife,"32","112","38"
enjoy-digital,"191","1394","65"
enjoyintheheat,"0","1","4"
enzet,"0","44","33"
ephios-dev,"35","118","132"
epinna,"23","72","33"
EpistasisLab,"45","50","12"
er-knight,"0","37","1"
erelsgl,"12","260","17"
EricFH,"11","103","17"
erickcifu,"162","94","47"
ericls,"5","1","2"
eriklindernoren,"0","28","1"
eriksape,"14","6","1"
espnet,"307","1391","353"
espressif,"1","3","7"
EssayKillerBrain,"68","130","41"
