"Organization","DynCount","FuncCount","DecCount"
"1129069366","826","1272","939"
"16348104","193","239","343"
"2martens","2","0","0"
"3N4N","36","83","205"
"54696d654a6f6c74","1","2","10"
"9ziggy9","1","1","3"
Aadhi000,"1","1","0"
aanna0701,"5","84","0"
aaPanel,"4","10","8"
aarhusstadsarkiv,"3","4","0"
aaronwmorris,"7","27","12"
aayasin,"2","1","0"
aayushaman4,"229","182","77"
AbdullahBahi,"3","36","0"
AbdulWahab321,"4","3","1"
abhinavsingh,"5","23","58"
abhishekkrthakur,"1","0","8"
aboul3la,"1","2","0"
abriggs914,"2622","5725","2511"
abutlerboudakian,"1","7","2"
achael,"16","776","31"
achaglov,"20","35","196"
aCyrNdia,"2","0","0"
adamchainz,"20","3","11"
addb-swstarlab,"1","31","21"
adesokandijam,"1616","2559","2343"
adonaifariasdev,"621","1073","734"
adrianrusu16,"620","1066","796"
adrien-obrecht,"623","1079","721"
adw0rd,"7","73","13"
Aegis100,"17","120","13"
Aevann1,"13","112","358"
afecego,"1","0","0"
aghlichl,"60","88","104"
agravier,"3","11","3"
ahhy3on,"1","61","15"
AIasd,"35","481","139"
aicampkr,"6","64","31"
aidanabekova,"621","1073","735"
aineniamh,"2","5","1"
aio-libs,"41","116","289"
airbnb,"25","133","206"
ajbrock,"12","7","1"
ajenti,"25","62","61"
aladdinpersson,"1","84","2"
Alashcoder,"219","162","335"
albumentations-team,"18","116","143"
albunus,"674","1258","877"
aleasoluciones,"2","16","4"
aleju,"221","871","817"
AlessandroZ,"7","274","36"
Alexey-T,"266","400","177"
alexforencich,"84","31","22"
AlexFoxalt,"4","8","8"
alfinrz,"2","0","0"
Alfredchong260,"1878","3725","1677"
alicevision,"32","292","77"
aligholami,"3","231","15"
alirezamika,"7","15","8"
allardlamberink,"1","0","0"
allegroai,"305","725","698"
allenai,"1","45","0"
allenporter,"1","4","80"
allprecisely,"1","0","0"
altair-viz,"51","98","48"
alteryx,"49","1171","211"
amirriazdwh,"908","1373","1025"
amogorkon,"23","94","17"
amueller,"3","24","0"
amzn,"31","173","157"
anandrajaram21,"3","40","4"
anatali,"503","874","724"
ancoreraj,"3","252","44"
andretgsilveira,"1605","2486","2280"
andrewthederp,"5","10","4"
AndrStp,"9","198","30"
andwgu,"1","16","0"
andy010645,"1","27","0"
AndydeCleyre,"3","0","3"
angelcabeza,"60","127","0"
angr,"268","1446","1037"
ankitects,"56","298","160"
annakarolinafranz,"274","519","374"
Anorov,"2","5","5"
AnossaTG,"38","28","60"
Anselmoo,"1","27","18"
ansible,"513","1077","751"
AntoineBellemare,"1","80","0"
antonioverdi,"274","2256","559"
antonkravchenko2001,"2","2","0"
AntreasAntoniou,"1","21","1"
aonopko,"3","2","7"
apache,"775","5823","3776"
apchenstu,"2","6","8"
apenwarr,"7","23","0"
apple,"130","1331","807"
APSL,"17","1","9"
aptise,"11","181","219"
archatas,"1","2","2"
ArchiveBox,"8","232","176"
archlinux,"34","48","27"
Arclight-V,"5340","6951","5413"
Arham4,"1256","1355","1159"
Arinkoro,"3","8","20"
arizvisa,"175","773","1259"
ARJUN-PRADEEP-123,"1","4","0"
ArkenStorm,"1","10","4"
ArnaudDorval,"1945","3910","1872"
ArnavPag,"823","1285","1025"
arogozhnikov,"21","37","10"
aroman,"1","2","1"
arrow-py,"13","15","43"
artemZiliboba,"763","1140","925"
artisan-roaster-scope,"365","511","153"
asafyeshoa,"273","519","365"
ashutoshkumarjha,"3","51","0"
ashwinstr,"9","57","62"
AsnanAshfaq,"404","514","311"
asoka90,"1","0","0"
asrcpq,"1","0","0"
AssiNET,"6","7","19"
astropy,"1442","1532","1958"
asugubkin,"2","0","1"
atlanhq,"2","70","17"
atmos-cloud-sim-uj,"36","69","295"
Atrocious-Mirror-Bot,"5","7","17"
auto-mat,"25","131","17"
automl,"163","335","212"
autotest,"124","540","99"
avalentino,"4","7","8"
awohns,"3","101","0"
aws,"274","1117","1886"
awslabs,"2","24","11"
axi0mX,"21","24","16"
aytoburgos,"1","0","0"
Azure,"1120","2792","980"
b-ryan,"5","8","1"
bachiraoun,"22","166","27"
badook-ai,"7","9","57"
bakayn29,"1","1","0"
bandit145,"1","3","1"
Bangtx,"621","1066","796"
BaoNghia,"15","22","1"
baowenbo,"3","52","26"
Barchid,"2","7","0"
bashu,"2","1","4"
basxsoftwareassociation,"119","123","30"
Baynrich,"2787","5550","3606"
bbfamily,"69","33","15"
BDDoylan,"1126","1664","1994"
beastzx18,"1","4","0"
bee-san,"1","5","0"
Behnam-sn,"4","4","0"
Belikov-qq,"1943","4660","1557"
benchopt,"26","64","37"
BenjiBoy926,"26","25","8"
benoitc,"56","53","27"
BetOnJeanette,"6","0","4"
BhaveshTheCoder,"1746","2568","1423"
BinaryDancer,"34","170","123"
binchen15,"1","137","0"
binref,"61","555","280"
biolab,"219","1469","702"
bkovitz,"66","274","350"
blackjack4494,"46","660","200"
BLCM,"10","159","19"
blitzmann,"2","83","7"
bloxlink,"78","116","25"
blueardour,"27","211","23"
boatbod,"29","78","22"
boto,"505","283","207"
bottlepy,"13","69","2"
bottlesdevs,"1","24","55"
box,"28","87","315"
bpython,"58","92","49"
brendsupport,"1","41","3"
bridgecrewio,"19","672","177"
BrunoCostaPrado,"621","1078","734"
brython-dev,"2450","3146","1509"
budinev,"54","130","71"
burnash,"1","36","32"
Buronn,"1","0","0"
BusTree,"621","1066","796"
butzemannn,"1","1","13"
bv9306,"43","14","12"
bwoodsend,"25","42","15"
byt3bl33d3r,"41","16","10"
C-O-M-M-A,"8","56","283"
c-proof,"5","21","5"
cabernetwork,"9","46","75"
CachCheng,"1","11","0"
Cadene,"1","26","1"
cal-itp,"4","32","5"
caleberi,"1","24","3"
calvinchankf,"2","176","2"
camelrush,"270","168","150"
CamilaFerrer,"271","220","376"
canonical-ols,"54","57","57"
Captain-Slippers,"822","1380","1029"
careBT,"17","0","24"
caronc,"69","195","136"
caseyjohn47,"1708","2597","2713"
castorini,"10","179","52"
CASY82,"1","19","0"
cavilosa,"1","0","0"
CcgAlberta,"49","104","29"
ccrisan,"12","70","11"
CellProfiler,"115","1175","292"
centuri-engineering,"4","9","7"
CERNDocumentServer,"13","80","187"
chainer,"510","1673","480"
ChanTerelLy,"1","10","4"
Charcoal-SE,"4","18","26"
charlesreiss,"5","12","51"
CharlesShang,"1","93","0"
chasezielinski,"257","11","0"
chatopera,"3","89","3"
CheezItMan,"1","0","0"
chengdol,"1","0","0"
Chia-Network,"44","455","459"
chimera-linux,"46","26","8"
chm24k,"617","1072","735"
choinara0,"624","982","717"
chyroc,"3","2","0"
Ciphey,"3","36","163"
City-of-Helsinki,"1","27","0"
cjtsui,"12","111","72"
cknolla,"7","11","5"
ckoerber,"13","36","4"
cleanlab,"16","218","1"
cleardusk,"1","10","0"
cleverhans-lab,"1","14","0"
clips,"83","611","296"
ClointFusion,"2","5","0"
cloudblue,"25","43","158"
cloudtools,"13","13","8"
cloudwithax,"2","8","23"
code-for-good-wm,"1","4","5"
codelucas,"4","88","76"
comic,"52","334","313"
commaai,"143","309","343"
compas-dev,"3","35","109"
ComPWA,"1","68","39"
conan-io,"239","638","865"
conda-forge,"2","38","1"
conestack,"6","41","263"
confar,"8","18","14"
ConnectBox,"59","70","29"
ConorSheehan1,"1","22","0"
constverum,"1","53","19"
ContextLab,"12","4","34"
ContinualAI,"40","221","80"
coreylammie,"26","38","6"
CouchPotato,"437","610","226"
coursera-dl,"3","21","3"
covid-projections,"9","279","227"
cpatrasciuc,"2","263","94"
crealitycloud,"1","0","1"
Creator-SN,"12","33","5"
cron1s,"3","3","1"
crossjam,"1","58","6"
crowdbotics-apps,"3","1","1"
CSAILVision,"1","44","6"
csfenghan,"14","27","9"
cstsunfu,"2","6","15"
ctmil,"4","12","0"
cupy,"276","676","84"
cyberark,"13","4","78"
cypypccpy,"4","10","7"
cyrustabatab,"2","162","55"
cython,"268","708","148"
D-kn,"83","67","32"
D3KRISH,"7","61","5"
dabeaz-course,"26","159","44"
DamianOzdoba,"262","225","392"
damonlynch,"24","127","77"
danielwilczak101,"43","23","61"
Danilo802,"1929","3469","3021"
Danoishere,"6","88","5"
dantonyuk,"1","6","0"
darknessomi,"5","0","0"
darkwyrm,"1","4","2"
dask,"437","2026","325"
DataBiosphere,"42","453","762"
DataDog,"840","875","428"
davedotluebke,"7","6","0"
davidackerman,"1","25","4"
davidhalter,"46","686","222"
davidju4717,"1107","1453","1203"
dbader,"2","3","20"
dbandrews,"2","19","0"
dbca-wa,"23","71","36"
dbinetti,"3","1","11"
dddomodossola,"96","37","259"
deanishe,"8","57","31"
debian-calibre,"16","81","23"
deepmind,"235","1358","239"
deepmipt,"62","1032","247"
deis,"12","25","6"
demisto,"87","2561","909"
DemPried,"867","1268","986"
DenyKrasH,"275","237","377"
derrod,"6","58","59"
desihub,"43","77","21"
determined-ai,"85","732","159"
DiAlejandroBarriosg,"1242","2146","1468"
dieantu,"68","113","456"
digital-land,"6","34","0"
Digital-Prophets,"2","3","1"
DIGITALCRIMINAL,"43","92","0"
dikuznet,"1","3","0"
dimchat,"1","6","227"
diofant,"200","4706","1237"
Dioptas,"9","54","71"
diwu1990,"2","39","6"
django,"1406","2228","1411"
django-cms,"285","223","135"
django-extensions,"212","177","79"
django-mptt,"200","36","33"
djangsters,"1","15","7"
dkarageo,"22","80","9"
DLR-RM,"24","148","56"
dmaccarthy,"64","105","187"
dmlc,"135","1370","633"
dmyersturnbull,"23","99","226"
Dobiasd,"8","4","5"
doccano,"20","60","70"
docker,"22","110","123"
dolho,"2","0","3"
Dolikhena,"7","108","42"
domdfcoding,"28","58","75"
dominik-limbach,"3204","6623","2856"
domlysz,"94","286","150"
dong5854,"2","30","0"
dongxuemin666,"10","44","20"
donnemartin,"289","453","427"
dpkp,"71","195","147"
Drakota,"1","47","0"
DramaTourG,"4","10","0"
dreki,"2","0","2"
drivendataorg,"10","31","29"
drMJ,"6","5","54"
dschenck,"3","38","6"
dschep,"7","1","0"
dscorbett,"1","67","58"
duck-dynasty,"3","35","24"
dudejrtjdrp,"1791","2554","2569"
dulucas,"19","117","8"
dylanaraps,"3","23","13"
ECCC-MSC,"12","70","1"
eda-ricercatore,"1","76","430"
edgedb,"236","865","584"
edutech-groove,"7","1","7"
edx,"1087","2579","3198"
eklavyadahiya,"1","6","3"
ekzm8523,"1","63","2"
elibroftw,"2","86","3"
elifesciences,"1","11","0"
EligaServices,"23","26","7"
Eloston,"9","40","27"
elvish7,"27","37","10"
emeryberger,"7","33","5"
emre,"2","1","0"
encode,"68","356","116"
Ender2K89,"7","38","6"
Engineering-Course,"5","22","19"
enjlife,"32","112","38"
enjoy-digital,"191","1394","65"
ephios-dev,"35","118","132"
epinna,"23","72","33"
EpistasisLab,"45","50","12"
erelsgl,"12","260","17"
ERiC-Labo,"4","5","0"
EricFH,"11","103","17"
ErichZimmer,"2","58","0"
erickcifu,"162","94","47"
ericls,"5","1","2"
eriksape,"14","6","1"
espnet,"307","1391","353"
espressif,"1","3","7"
EssayKillerBrain,"68","130","41"
EstebanAcosta,"1","7","0"
etianen,"7","20","10"
EticaAI,"2","4","9"
Eugene-Song,"3","6","2"
euske,"4","47","8"
evhub,"35","77","144"
evilsocket,"23","7","15"
fablet,"5","14","2"
fabric,"39","40","54"
facebook,"17","56","109"
facebookarchive,"2","6","3"
facebookincubator,"35","728","483"
facebookresearch,"728","3750","1804"
FactoryBoy,"52","158","77"
FAForever,"2","17","10"
Fahad65edu,"5","7","17"
fail2ban,"99","232","145"
falconry,"54","151","133"
fatpat314,"867","1266","1041"
faza666,"1154","1688","1285"
Felienne,"4","32","23"
ferrocactus,"7","87","4"
FicusCarica308,"1","9","7"
Final-Team-Project,"37","127","13"
finbourne,"16","57","0"
firedm,"22","215","51"
fkie-cad,"11","14","20"
flashdagger,"10","16","3"
flask-admin,"183","161","30"
flask-restful,"19","81","2"
flatsurf,"1","30","19"
FlavioBortolan,"1","1","10"
flectra-hq,"189","4062","444"
flexy777,"2","2","0"
flipdot,"2","9","41"
flowmatters,"7","68","0"
Flux-Inc,"7","4","2"
fomightez,"1","34","3"
fonol,"35","263","70"
fonttools,"920","1276","196"
FooBarShebang,"11","0","10"
fossasia,"2","26","48"
fountain-y,"89","625","94"
fpemud-os,"16","8","92"
franciscovillaescusa,"6","10","5"
frappe,"8","68","17"
FreakyDug,"8","38","24"
fregataa,"2","3","1"
freqtrade,"75","319","208"
frissyn,"3","4","0"
FrivolousEngineering,"13","38","59"
FSecureLABS,"10","78","73"
Fyssion,"21","108","72"
GabrieleFerrero,"1","0","0"
galenliu,"14","17","27"
Gallopsled,"144","187","308"
GamestonkTerminal,"72","436","397"
GammaIntelligenceTraining,"1","27","7"
ganga-devs,"634","610","411"
Garmelon,"2","56","49"
garyljj,"40","133","13"
gchrupala,"1","40","7"
geem-lab,"2","24","0"
geerlingguy,"2","0","4"
GekFreeman,"18","1","0"
GeneralBot-developer,"25","26","83"
geohot,"11","169","27"
GeoscienceAustralia,"14","155","17"
Ghotome,"622","1067","796"
giampaolo,"198","185","242"
GiftXXVI,"1","4","0"
gil9red,"17","290","57"
GimelStudio,"2","11","40"
giswqs,"10","146","0"
giuper,"5","16","0"
Giyn,"9","30","2"
GlacioHack,"14","71","28"
glato,"34","54","217"
gmarciani,"35","174","14"
