"Organization","DynCount","FuncCount","DecCount"
"0316d07cb3844f37b72d3883269fc780","0","5","0"
"0715yk","0","3","0"
"0h328","0","29","0"
"0xean","0","18","0"
"0xrishabh","0","1","0"
"104-pianist","0","1","0"
"1129069366","826","1272","939"
"16348104","193","239","343"
"3dgiordano","0","4","0"
"3N4N","36","83","205"
"54696d654a6f6c74","1","2","10"
"7cm-diameter","0","4","9"
"7dudtj","0","1","0"
"8lue5ky","0","8","1"
"97-shape","0","15","0"
"9ziggy9","1","1","3"
A-F-V,"0","45","0"
a1xg,"0","1","0"
Aadhi000,"1","1","0"
aanna0701,"5","84","0"
aaPanel,"4","10","8"
aarhusstadsarkiv,"3","4","0"
aaronwmorris,"7","27","12"
aayasin,"2","1","0"
aayushaman4,"229","182","77"
abavoil,"0","7","7"
abbbi,"0","5","0"
Abdikassym,"0","9","0"
AbdullahBahi,"3","36","0"
AbdulWahab321,"4","3","1"
abhijithnraj,"0","2","4"
AbhinavMV,"0","45","6"
abhinavsingh,"5","23","58"
abhishekwebcode,"0","39","0"
aboul3la,"1","2","0"
abraker-osu,"0","11","12"
abriggs914,"2622","5725","2511"
abutlerboudakian,"1","7","2"
achael,"16","776","31"
achaglov,"20","35","196"
ActivityWatch,"0","6","0"
adagrad,"0","19","1"
adamchainz,"20","3","11"
adamjaro,"0","17","0"
addb-swstarlab,"1","31","21"
adesokandijam,"1616","2559","2343"
adminapipressto,"0","6","0"
adonaifariasdev,"621","1073","734"
adr1enbe4udou1n,"0","9","0"
AdrianKriger,"0","9","0"
adrianrusu16,"620","1066","796"
adrien-obrecht,"623","1079","721"
AdrienB-OC,"0","4","0"
AdrKacz,"0","18","0"
adw0rd,"7","73","13"
AE0L,"0","15","2"
Aegis100,"17","120","13"
Aevann1,"13","112","358"
afkhurana,"0","1","6"
aghlichl,"60","88","104"
agravier,"3","11","3"
agrzegorzewski,"0","2","0"
ahhy3on,"1","61","15"
AIasd,"35","481","139"
aicampkr,"6","64","31"
aidanabekova,"621","1073","735"
aidlearning,"0","7","2"
aih,"0","2","0"
aineniamh,"2","5","1"
aio-libs,"41","116","289"
airbnb,"25","133","206"
aitor-arronte,"0","12","0"
ajakef,"0","41","0"
ajbrock,"12","7","1"
ajenti,"25","62","61"
ak-eventhorizon,"0","2","0"
akashsengupta1997,"0","20","2"
Akgop,"0","71","0"
akimi-yano,"0","341","0"
akimich11,"0","3","4"
aklagoo,"0","2","0"
akoen,"0","6","6"
aladdinpersson,"1","84","2"
alanwsmith,"0","12","0"
Alashcoder,"219","162","335"
albumentations-team,"18","116","143"
albunus,"674","1258","877"
Aldais,"0","8","0"
aleasoluciones,"2","16","4"
Aleboul,"0","25","0"
alegleason,"0","16","0"
aleju,"221","871","817"
aleshreffler,"0","6","0"
AlessandroZ,"7","274","36"
Alex-c89,"0","1","0"
alexander-belikov,"0","193","0"
Alexey-T,"266","400","177"
alexforencich,"84","31","22"
AlexFoxalt,"4","8","8"
alexkyllo,"0","15","2"
Alfredchong260,"1878","3725","1677"
algoitssm,"0","14","0"
aliaafee,"0","7","0"
alicevision,"32","292","77"
aligholami,"3","231","15"
alirezamika,"7","15","8"
Aliyah03,"0","4","0"
allegroai,"305","725","698"
allen-cell-animated,"0","13","0"
allenai,"1","45","0"
allenalvin333,"0","6","0"
allenporter,"1","4","80"
allku,"0","1","1"
altair-viz,"51","98","48"
alteryx,"49","1171","211"
alu0101123622,"0","3","0"
amcpherson,"0","5","0"
ameisner,"0","3","0"
ameksike,"0","5","0"
ameybhole,"0","3","0"
aminkashiri,"0","3","0"
amirDahari1,"0","6","3"
amirriazdwh,"908","1373","1025"
amiteshag320,"0","3","0"
amogorkon,"23","94","17"
AmosChenZixuan,"0","4","2"
amperser,"0","5","181"
amueller,"3","24","0"
amzn,"31","173","157"
anandrajaram21,"3","40","4"
anatali,"503","874","724"
ancoreraj,"3","252","44"
andmcadams,"0","4","0"
andredelft,"0","5","4"
andreoliwa,"0","4","3"
andresgrdn,"0","8","0"
andretgsilveira,"1605","2486","2280"
andrewthederp,"5","10","4"
AndreyMeshkov,"0","2","0"
AndrStp,"9","198","30"
andwgu,"1","16","0"
andy010645,"1","27","0"
angelcabeza,"60","127","0"
AnggieCorrea,"0","2","0"
angr,"268","1446","1037"
anguaive,"0","5","0"
AnieTeam,"0","6","0"
anishathalye,"0","2","0"
AnishLohiya,"0","1","8"
ankitects,"56","298","160"
annakarolinafranz,"274","519","374"
Anorov,"2","5","5"
AnossaTG,"38","28","60"
AnotherPianist,"0","25","0"
Anselmoo,"1","27","18"
ansible,"513","1077","751"
antiboredom,"0","15","7"
AntoineBellemare,"1","80","0"
AntonioOlivaH,"0","73","0"
antonioverdi,"274","2256","559"
antonkravchenko2001,"2","2","0"
AntreasAntoniou,"1","21","1"
aonopko,"3","2","7"
AP-MI-2021,"0","16","0"
apache,"775","5823","3776"
aParthemer,"0","15","17"
apchenstu,"2","6","8"
apenwarr,"7","23","0"
apple,"130","1331","807"
APSL,"17","1","9"
aptise,"11","181","219"
aranibar28,"0","1","2"
Aratz,"0","55","0"
ArboreumDev,"0","4","0"
archatas,"1","2","2"
ArchiveBox,"8","232","176"
archlinux,"34","48","27"
archont58,"0","8","2"
Arclight-V,"5340","6951","5413"
ArcticAI,"0","2","0"
ardinusawan,"0","2","0"
Arham4,"1256","1355","1159"
Arinkoro,"3","8","20"
aristocratos,"0","1","0"
arizvisa,"175","773","1259"
ARJUN-PRADEEP-123,"1","4","0"
ArkenStorm,"1","10","4"
ARM-software,"0","14","5"
ArnaudDorval,"1945","3910","1872"
ArnavPag,"823","1285","1025"
arnevdbvives,"0","2","0"
arogozhnikov,"21","37","10"
aroman,"1","2","1"
arrow-py,"13","15","43"
artemZiliboba,"763","1140","925"
Arthur-Noh,"0","4","0"
ArthurSStrong,"0","1","0"
artisan-roaster-scope,"365","511","153"
ArtLabss,"0","1","0"
artofbw,"0","1","0"
asafyeshoa,"273","519","365"
asciimoo,"0","17","0"
Asdar97,"0","4","0"
asdf28,"0","1","0"
asengupta,"0","2","0"
ashnkumar,"0","5","11"
ashokmurthy13,"0","3","0"
ashutoshkumarjha,"3","51","0"
ashwinstr,"9","57","62"
asia-pacific-energy-research-centre,"0","35","0"
AsnanAshfaq,"404","514","311"
AssiNET,"6","7","19"
astamm,"0","67","0"
astorfi,"0","3","3"
astro3141,"0","1","6"
astropy,"1442","1532","1958"
ASurtaev,"0","2","0"
Atilhan,"0","1","0"
atlanhq,"2","70","17"
atmos-cloud-sim-uj,"36","69","295"
atorch,"0","1","0"
Atrocious-Mirror-Bot,"5","7","17"
Aurian-Nogues,"0","11","12"
austindb98,"0","5","0"
Austinstevesk,"0","4","0"
auto-mat,"25","131","17"
automl,"163","335","212"
autotest,"124","540","99"
avalentino,"4","7","8"
avandvik,"0","78","0"
AvinashSarnaik,"0","25","0"
avinassh,"0","3","1"
awohns,"3","101","0"
aws,"274","1117","1886"
aws-deepracer-community,"0","2","0"
awslabs,"2","24","11"
axi0mX,"21","24","16"
AyazNakhudaGitHub,"0","13","2"
aymankhder,"0","1","1"
aymene98,"0","1","5"
Azure,"1120","2792","980"
Azure-Samples,"0","2","0"
b-ryan,"5","8","1"
bachiraoun,"22","166","27"
BackOwl,"0","3","0"
bacor,"0","3","0"
badook-ai,"7","9","57"
bakayn29,"1","1","0"
bandit145,"1","3","1"
Bangtx,"621","1066","796"
BaoNghia,"15","22","1"
baowenbo,"3","52","26"
barabarinov,"0","21","12"
Barchid,"2","7","0"
bashu,"2","1","4"
basxsoftwareassociation,"119","123","30"
Baynrich,"2787","5550","3606"
bbennett80,"0","2","0"
bbfamily,"69","33","15"
bclittleua,"0","2","0"
BDDoylan,"1126","1664","1994"
bear245,"0","1","2"
beastzx18,"1","4","0"
bee-san,"1","5","0"
Behnam-sn,"4","4","0"
Belikov-qq,"1943","4660","1557"
belluzj,"0","11","0"
benchopt,"26","64","37"
BenjiBoy926,"26","25","8"
benoitc,"56","53","27"
benwade91,"0","12","0"
benwatson528,"0","4","3"
BGIResearch,"0","3","0"
BhaveshTheCoder,"1746","2568","1423"
bhimeshchauhan,"0","114","11"
bhky,"0","32","1"
Bhuwan-web,"0","28","4"
biagioboi,"0","1","0"
bigbr4in0614,"0","3","2"
billminear,"0","2","0"
BinaryDancer,"34","170","123"
binchen15,"1","137","0"
binref,"61","555","280"
biolab,"219","1469","702"
biomage-ltd,"0","4","0"
biomedicalinformaticsgroup,"0","25","0"
Biscaldi-Iv,"0","5","2"
bityob,"0","2","7"
bjhammack,"0","1","0"
bkovitz,"66","274","350"
blackjack4494,"46","660","200"
BLCM,"10","159","19"
blitzmann,"2","83","7"
bloedboemmel,"0","6","0"
bloxlink,"78","116","25"
blueardour,"27","211","23"
boatbod,"29","78","22"
bogdan-edu,"0","1","0"
BolatMukashev,"0","1","0"
Bosti2101,"0","6","2"
Bot-Devel,"0","2","0"
bothub-it,"0","28","16"
boto,"505","283","207"
bottlepy,"13","69","2"
bottlesdevs,"1","24","55"
BoughezalaMohamedAimen,"0","25","1"
bounswe,"0","4","3"
box,"28","87","315"
bpawluczuk,"0","2","0"
bpython,"58","92","49"
BradleyGenao,"0","2","0"
brandonccccc,"0","5","0"
breadbee,"0","1","0"
Bredgary,"0","11","0"
brendsupport,"1","41","3"
BrentBaccala,"0","8","0"
bridgecrewio,"19","672","177"
brightmart,"0","80","3"
Bromar96,"0","2","0"
broniyasinnik,"0","7","1"
brsynth,"0","3","12"
BrunoCostaPrado,"621","1078","734"
brython-dev,"2450","3146","1509"
BudacaB,"0","5","6"
budinev,"54","130","71"
burnash,"1","36","32"
bushlab-genomics,"0","6","0"
BusTree,"621","1066","796"
butzemannn,"1","1","13"
bv9306,"43","14","12"
bwoodsend,"25","42","15"
byt3bl33d3r,"41","16","10"
c-eg,"0","3","1"
C-O-M-M-A,"8","56","283"
c-proof,"5","21","5"
c-st,"0","5","0"
c04nh,"0","1","0"
ca3-10,"0","8","0"
cabernetwork,"9","46","75"
CachCheng,"1","11","0"
Cadene,"1","26","1"
cagedev,"0","19","0"
cal-itp,"4","32","5"
caleberi,"1","24","3"
caltechorbi,"0","1","0"
calvinchankf,"2","176","2"
camelrush,"270","168","150"
CamilaFerrer,"271","220","376"
cammcad,"0","21","0"
canatella,"0","7","5"
canonical-ols,"54","57","57"
caoleminhhieu,"0","3","0"
Captain-Slippers,"822","1380","1029"
caronc,"69","195","136"
carpedkm,"0","5","3"
carpentries,"0","9","0"
carpentries-incubator,"0","34","26"
caseyjohn47,"1708","2597","2713"
castillocodes,"0","2","5"
castorini,"10","179","52"
CASY82,"1","19","0"
ccal2,"0","6","6"
CcgAlberta,"49","104","29"
ccrisan,"12","70","11"
CCXXXI,"0","1","0"
CellProfiler,"115","1175","292"
centuri-engineering,"4","9","7"
Ceres445,"0","7","10"
CERNDocumentServer,"13","80","187"
chainer,"510","1673","480"
chan-bam,"0","1","11"
ChanTerelLy,"1","10","4"
chao813,"0","1","1"
Charcoal-SE,"4","18","26"
charlesreiss,"5","12","51"
CharlesShang,"1","93","0"
chasezielinski,"257","11","0"
chatopera,"3","89","3"
cherycal,"0","7","22"
Chia-Network,"44","455","459"
chickenpop,"0","33","0"
chico-moura,"0","10","11"
chimera-linux,"46","26","8"
chineseocr,"0","7","0"
Chipdelmal,"0","3","0"
chm24k,"617","1072","735"
choinara0,"624","982","717"
chosunghyun18,"0","5","0"
ChristianPerez34,"0","2","5"
ChuqiaoYi,"0","37","0"
chyroc,"3","2","0"
cielak,"0","36","3"
Ciphey,"3","36","163"
City-of-Helsinki,"1","27","0"
civictechsweden,"0","20","7"
cjrzs,"0","2","0"
cjtsui,"12","111","72"
cknolla,"7","11","5"
ckoerber,"13","36","4"
clairec03,"0","2","0"
ClaudiuChelcea,"0","13","0"
cleanlab,"16","218","1"
cleardusk,"1","10","0"
clem2507,"0","2","0"
ClemensHoischen,"0","13","0"
clementchadebec,"0","169","58"
cleverhans-lab,"1","14","0"
clips,"83","611","296"
ClointFusion,"2","5","0"
clomia,"0","1","1"
cloudblue,"25","43","158"
cloudtools,"13","13","8"
cloudwithax,"2","8","23"
code-for-good-wm,"1","4","5"
codeaudio,"0","1","8"
CodeForAfrica,"0","2","0"
codehub-ir,"0","5","0"
codelucas,"4","88","76"
CodyPenny,"0","2","0"
coldblade2000,"0","3","0"
comic,"52","334","313"
commaai,"143","309","343"
compas-dev,"3","35","109"
ComPWA,"1","68","39"
conan-io,"239","638","865"
conda-forge,"2","38","1"
conestack,"6","41","263"
confar,"8","18","14"
ConnectBox,"59","70","29"
ConorSheehan1,"1","22","0"
constverum,"1","53","19"
ContextLab,"12","4","34"
ContinualAI,"40","221","80"
CoolBoyYTr,"0","25","0"
coreylammie,"26","38","6"
CoryParsnipson,"0","4","0"
CouchPotato,"437","610","226"
coursera-dl,"3","21","3"
covid-projections,"9","279","227"
COVID19Tracking,"0","1","0"
CovidTrackerFr,"0","7","0"
cpatrasciuc,"2","263","94"
Creator-SN,"12","33","5"
cron1s,"3","3","1"
crossjam,"1","58","6"
Crotshot,"0","2","0"
crowdbotics-apps,"3","1","1"
cruft,"0","8","0"
CrystalEze,"0","10","0"
CSAILVision,"1","44","6"
csecht,"0","7","1"
csfenghan,"14","27","9"
CSID-DGU,"0","2","0"
CSOS-Study,"0","16","0"
