"Project","DynCount","FuncCount","DecCount"
.normen,"3","33","3"
"111_bot","509","936","684"
"15-minute-apps","17","43","3"
"15112_TP","621","1066","796"
"2","3","41","3"
"2021SpringGroup5","0","4","3"
"3xamplePythonFlask","0","1","1"
"472projuct","621","1066","796"
"5287-A2","0","2","2"
"6.Space-War","2","1","3"
a4-kosmo,"65","54","80"
a4-meinberlin,"33","40","85"
abu,"69","33","15"
accesionRule_assignment,"0","0","2"
Accounting,"0","1","25"
acme,"19","291","53"
AdapterExperimentation,"0","23","2"
AdelaiDet,"27","211","23"
ADE_COI,"2","5","1"
ADFuzz,"35","481","139"
advent-of-code-2015,"0","19","5"
adventofcode,"8","226","27"
adv_python,"621","1073","734"
adze-modeler,"6","55","30"
af_backprop,"0","168","16"
AI,"0","7","10"
ai-chatfilter-service,"2","29","5"
ai-tests,"32","113","13"
ai-traffic-control,"1","12","1"
aicamp_baseline,"6","64","31"
AidLearning-FrameWork,"0","7","2"
ail_predict,"0","0","1"
aioalfacrm,"9","10","11"
aiogram-template,"3","1","6"
aiohook,"3","11","3"
aiohttp,"41","116","289"
AircraftRadar,"0","8","1"
airflow,"331","1682","1945"
ai_camera_config,"0","0","2"
ajenti,"25","62","61"
albumentations,"18","116","143"
alembic,"70","352","312"
alfred-workflow,"8","57","31"
algobot,"1","215","35"
AlgoDaily,"2","176","2"
Algorithm,"625","1871","718"
algorithm-problem-solving,"1","49","2"
algorithm-python,"1038","2365","935"
algorithms,"0","75","19"
algorithms_and_datastructures,"0","5","1"
algoTest,"0","0","22"
ALLFather_BOT1_Slam,"5","7","17"
All_Project,"1878","3725","1677"
alpaca_v2,"0","6","6"
alphafold,"11","258","32"
AlphaPose,"18","194","68"
altair,"51","98","48"
alura-formacao-python,"0","1","6"
am-app-django,"158","120","77"
AMCF,"27","37","10"
amdfan,"0","1","4"
amos,"38","74","80"
an-event-campaign-map,"274","519","365"
analytics-data-report,"51","95","95"
anchorpy,"0","47","40"
angr,"268","1446","1037"
Aniebot,"5","53","6"
Anjani,"16","11","70"
anki,"56","298","160"
anki-search-inside-add-card,"35","263","70"
ansible,"513","1077","751"
ansible-for-devops,"2","0","4"
ansible-personal,"1","7","5"
antlir,"25","607","277"
antonstechbotv2,"0","0","2"
AoC-2015,"0","34","15"
apex,"138","401","128"
api-gateway,"0","0","18"
api.roadtripsandhikes.org,"0","0","3"
apicula,"3","105","14"
api_cotabest,"0","1","1"
apprise,"69","195","136"
appstore,"8","65","6"
app_arborizacao,"1783","2724","2375"
APS_LevelUp,"0","6","6"
arcade,"30","262","238"
Archery,"0","6","5"
archinstall,"34","48","27"
architecture,"0","0","7"
ArchiveBox,"8","232","176"
Archivist-Agent,"0","50","2"
arrow,"13","15","43"
arthur-redshift-etl,"13","214","105"
Article-CMS,"0","0","3"
artisan,"365","511","153"
asana_extensions,"5","78","33"
asm-dude,"44","316","3"
ASM.21.Lab3,"2","0","1"
Aspidites,"254","608","263"
assigner,"7","27","70"
assisted-test-infra,"18","189","195"
astropy,"1442","1532","1958"
AsyncProxyServer,"0","2","5"
async_arch_course,"8","18","14"
async_django,"2","3","1"
athena,"15","6","1"
Atrocious_Mirror_Bot,"5","7","17"
AtroCRM,"2033","2458","2042"
AugLy,"5","81","27"
Augmentor,"1","30","17"
AuroraPlusHA,"0","0","5"
austin-tui,"23","8","15"
auth,"488","416","649"
authentik,"61","58","268"
Auth_sprint_1,"0","2","1"
auto-sklearn,"163","335","212"
autoencoders-outlier-detection,"0","8","2"
autograd,"9","935","64"
autokeras,"1","111","45"
Automatic-Planner,"0","0","4"
Automation,"0","1","21"
autopep8,"59","73","32"
autoscraper,"7","15","8"
AutoSploit,"0","0","1"
Autotesting,"0","8","2"
AuTuMN,"12","580","30"
avalanche,"40","221","80"
AvitoParser,"0","1","8"
avn,"3","10","1"
AWDP,"9","30","2"
aws-cli,"98","179","140"
aws-parallelcluster,"103","335","855"
aws-sam-cli,"27","327","636"
aws-shell,"2","24","11"
AWS_ASG,"1154","1688","1285"
azul,"42","453","762"
azure-cli,"1027","1379","504"
A_CurrencyClient,"0","0","1"
a_sauna,"1","7","16"
babymonitor,"1","41","1"
bachelor_thesis,"0","3","2"
BackEnd,"37","127","13"
backend-codigo-10,"0","1","2"
Backend-Technoatom,"16","2","2"
backend.ai-client-py,"11","111","311"
backtrader,"345","194","58"
back_light_rgb,"0","57","2"
bacpy,"0","17","24"
Badger,"2","30","41"
badook-tests-python,"7","9","57"
Banco,"0","0","28"
BaoTa,"4","10","8"
Bari-CPAP,"3857","9156","4113"
base,"915","1246","1606"
baselines,"23","271","38"
BasicDjango,"273","519","365"
BattBot,"5","8","1"
bcl,"0","0","8"
BD02_Backend,"0","4","2"
beeswithmachineguns,"2","59","1"
beit,"6","39","3"
benchmark_VAE,"0","169","58"
benchOpt,"26","64","37"
bert4torch,"32","112","38"
bestsell,"1","2","4"
besttrade,"0","18","3"
bethanhutt,"0","0","1"
bgpq-proxy,"0","2","3"
bidding,"32","112","87"
bigdata,"0","7","1"
BigFred,"6","13","10"
BigGAN-PyTorch,"12","7","1"
bigmuseum,"2","0","2"
Biju-shop,"0","0","3"
binance-trade-bot,"0","21","5"
binance-wrapper,"0","0","2"
binwalk,"31","16","2"
bioc-project,"0","17","13"
biopipelines-docker,"0","64","73"
bk_bang_manh,"621","1066","796"
bl3mods,"10","159","19"
Blackjack,"0","0","17"
blender-driving-scenario-creator,"0","6","8"
BlenderGIS,"94","286","150"
bless,"1","1","4"
blockchain-apps,"0","0","3"
blockchain-project,"1","4","10"
blog,"1773","2838","2760"
blog-django,"1","3","1"
Bloxlink,"78","116","25"
blue-sdk-python,"0","0","79"
bonzo,"0","3","1"
borb,"8","542","56"
bot,"3","31","60"
bothub-nlp,"0","28","16"
boto,"443","250","181"
boto3,"62","33","26"
bottle,"13","69","2"
Bottles,"1","24","55"
botUSD,"0","9","8"
box-python-sdk,"28","87","315"
bpython,"58","92","49"
brandwatch-api-extract,"346","278","309"
BRAVE,"107","7","94"
bread,"119","123","30"
brenduserbot,"1","41","3"
Bringing-Old-Photos-Back-to-Life,"20","28","8"
broker-account-analist,"1","10","4"
brs-utils,"0","3","12"
bruno_bot,"0","1","6"
brython,"2450","3146","1509"
bt-mqtt-gateway-new,"8","17","11"
bug-free-spoon,"0","37","1"
build,"34","413","215"
