"Organization","DynCount","FuncCount","DecCount"
"007gzs","80","23","51"
"0101","5","62","32"
"01org","23","58","37"
"0Chencc","51","50","19"
"0Hughman0","0","4","8"
"0todd0000","0","172","9"
"0x00-0x00","0","1","21"
"0xa","2","22","15"
"0xddaa","0","2","1"
"0xPhoeniX","0","4","3"
"0xwindows","8","35","28"
"100","0","23","15"
"1001genomes","0","13","11"
"10177591","0","2","1"
"1024jp","0","5","4"
"10gen","4","9","41"
"10se1ucgo","2","2","2"
"1200wd","4","33","6"
"132nd-etcher","62","64","386"
"15thnight","2","13","10"
"17zuoye","0","10","10"
"1995parham","0","2","8"
"19po","27","8","2"
"1a1a11a","3","16","16"
"1adrianb","1","8","14"
"1aN0rmus","0","1","7"
"1and1","6","25","15"
"1dot75cm","2","19","32"
"1flow","56","36","66"
"1stvamp","8","6","5"
"20c","11","5","3"
"20n","0","7","2"
"20tab","7","16","34"
"23andMe","4","13","6"
"255BITS","53","387","1"
"2buntu","2","5","35"
"2degrees","0","19","12"
"2gis","66","127","149"
"2ndquadrant-it","9","6","20"
"2sh","0","3","2"
"314r","0","4","29"
"317070","3","384","5"
"34nm","9","1","23"
"3bot","3","2","54"
"3cky","0","2","2"
"3D-e-Chem","0","79","1"
"3drobotics","27","14","12"
"3liz","5","21","36"
"3YOURMIND","0","11","5"
"40423143","2","1","6"
"40423245","12","8","13"
"475Cumulus","40","14","63"
"4Catalyzer","8","31","20"
"4degrees","5","5","2"
"4dn-dcic","18","113","80"
"4dsolutions","2","38","42"
"4rChon","2","4","4"
"4shadoww","8","39","23"
"50thomatoes50","0","1","1"
"510908220","1","5","3"
"51reboot","2","17","30"
"58daojia-dba","2","7","10"
"5agado","0","150","51"
"5g-empower","43","59","100"
"5j9","0","23","11"
"5monkeys","86","128","209"
"5nizza","8","124","34"
"602p","9","7","7"
"6180","0","3","20"
"6809","10","21","2"
"6aika","19","16","11"
"6si","3","63","4"
"72squared","4","8","31"
"7Pros","6","5","11"
"7sDream","26","47","293"
"82Flex","42","22","20"
"8cylinder","0","20","13"
"8enmann","1","14","1"
"9468305","0","2","1"
"9b","3","10","3"
"9miao","6","20","12"
"9seconds","3","52","23"
a-detiste,"6","23","37"
a-kr,"1","5","7"
a-musing-moose,"2","13","4"
a-r-g-v,"1","14","40"
a-roomana,"2","1","1"
a-slide,"1","7","10"
a10networks,"2609","74","152"
a270443177,"0","2","5"
A3sal0n,"0","8","6"
a5kin,"19","32","29"
aaalgo,"4","7","1"
aacebedo,"0","1","4"
Aadeshp,"0","1","3"
aakhundov,"3","19","9"
Aalto-LeTech,"41","97","54"
aalto-speech,"2","32","8"
aamalev,"4","33","27"
aandergr,"0","16","1"
aanunez,"1","7","9"
aarande,"1","5","5"
aarchiba,"0","40","17"
aaren,"0","4","1"
aaronduino,"0","30","11"
aarongarrett,"3","98","12"
AaronKel,"22","9","5"
aaronsw,"22","100","10"
aarontuor,"1","9","2"
aarose,"0","1","8"
aarshayj,"0","7","3"
aartur,"5","8","2"
aaugustin,"34","107","45"
ab24v07,"0","3","9"
abadger,"11","39","24"
abakan,"9","6","6"
abarnert,"14","63","3"
abarto,"3","4","4"
abbat,"0","3","3"
abdesslem,"0","5","4"
AbeelLab,"2","27","17"
abelcarreras,"1","29","25"
abelectronicsuk,"0","16","7"
abelfunctions,"1","45","26"
abenton,"0","18","1"
abertal,"0","7","2"
abertschi,"0","8","5"
abhi-r3v0,"0","1","12"
AbhiAgarwal,"0","6","2"
abhijithanilkumar,"1","2","3"
abhik,"9","45","10"
abhikumar22,"63","40","149"
abhishek-ram,"2","6","2"
abilian,"102","181","224"
abinashmeher999,"2","8","7"
abingham,"0","7","4"
abinit,"16","67","41"
abisee,"0","7","3"
abishara,"5","1","24"
Abjad,"126","145","643"
Ablinne,"2","5","9"
abogushov,"0","1","1"
aboood40091,"3","4","1"
aboSamoor,"2","32","27"
aboudzakaria,"3","1","1"
abourget,"6","8","1"
aboutsajjad,"3","45","31"
abravalheri,"6","4","6"
abrenaut,"0","12","7"
abrt,"65","173","95"
abseil,"5","19","3"
absent1706,"10","21","39"
absoludity,"0","1","1"
absortium,"0","1","39"
abulte,"0","2","3"
abunsen,"2","1","1"
abusalimov,"2","4","1"
abusesa,"28","565","31"
abw333,"0","9","1"
AcademicTorrents,"0","10","2"
acatton,"8","50","7"
ACBL-Bridge,"0","25","6"
AccentDesign,"4","25","23"
accerqueira,"0","1","1"
acdh-oeaw,"6","23","5"
ace0,"6","22","3"
aceofwings,"6","7","18"
acgx,"0","59","11"
achabotl,"0","10","9"
achadwick,"0","2","11"
aChatir,"0","1","1"
achilleas-k,"8","9","3"
achimnol,"1","9","1"
acil-bwh,"10","6","20"
aclowes,"4","10","11"
acocac,"1","16","11"
acontry,"6","10","1"
acoomans,"1","5","2"
acorg,"3","42","4"
acq4,"120","212","74"
acrazing,"5","3","1"
AcrDijon,"2","20","20"
acrisci,"11","45","15"
Acrisel,"1","25","10"
ACS-Community,"10","1","4"
acsone,"12","41","7"
ActiDoo,"12","22","5"
actionless,"19","38","28"
activefrequency,"10","3","13"
ActiveState,"616","1541","374"
ActivisionGameScience,"0","10","4"
activityhistory,"0","16","1"
actlea,"7","43","92"
acumb,"0","37","7"
