"Organization","DynCount","FuncCount","DecCount"
"007gzs","64","16","45"
"0101","5","55","32"
"01org","23","71","40"
"0Chencc","51","50","19"
"0k","2","6","0"
"0x1001","1","3","0"
"0x1mason","2","6","2"
"0xa","2","22","15"
"0xwindows","8","35","28"
"10c8","3","7","0"
"10fish","8","7","0"
"10gen","4","9","41"
"10se1ucgo","2","2","2"
"1200wd","4","31","6"
"128technology","6","1","0"
"132nd-etcher","62","64","386"
"153","1","6","0"
"15thnight","2","13","10"
"19po","27","8","2"
"1a1a11a","3","16","16"
"1adrianb","1","8","14"
"1and1","6","25","15"
"1dot75cm","1","8","23"
"1flow","40","26","49"
"1stvamp","8","6","5"
"20c","11","5","3"
"20tab","7","16","34"
"23andMe","4","13","6"
"245967906","1","1","0"
"255BITS","53","387","1"
"26fe","1","5","12"
"2buntu","2","5","35"
"2gis","66","124","146"
"2ndquadrant-it","9","6","20"
"317070","3","384","5"
"34nm","9","1","23"
"3bot","3","2","54"
"3drobotics","27","14","12"
"3liz","5","21","36"
"3Scan","1","47","0"
"3WiseMen","4","12","0"
"40423245","10","8","13"
"475Cumulus","40","14","63"
"4Catalyzer","8","31","20"
"4degrees","5","5","2"
"4dn-dcic","18","113","80"
"4dsolutions","2","38","42"
"4Kaylum","4","31","2"
"4rChon","2","4","4"
"4shadoww","8","38","23"
"4ZM","3","17","0"
"51reboot","2","5","2"
"58daojia-dba","2","6","10"
"5alt","1","1","0"
"5g-empower","43","59","100"
"5monkeys","86","128","209"
"5nizza","8","124","34"
"602p","9","7","7"
"64studio","3","18","0"
"6809","10","21","2"
"6aika","19","16","11"
"6si","3","63","4"
"72squared","4","8","31"
"7oxicshadow","1","5","0"
"7Pros","6","5","11"
"82Flex","42","22","20"
"8enmann","1","14","1"
"916253","1","4","0"
"9b","3","10","3"
"9gix","4","3","0"
"9seconds","3","52","23"
a-detiste,"6","22","37"
a-musing-moose,"2","13","4"
a-r-g-v,"1","14","40"
a-roomana,"2","1","1"
a-slide,"1","7","10"
a10networks,"2609","74","152"
a5kin,"19","32","29"
a7744hsc,"2","2","0"
aaalgo,"4","7","1"
aaiyer,"9","23","0"
aajanki,"3","21","0"
aakhundov,"3","19","9"
aalhour,"1","3","6"
Aalto-LeTech,"41","97","54"
aalto-speech,"2","32","8"
aamalev,"4","33","27"
aanunez,"1","7","9"
aarande,"1","5","5"
aarongarrett,"3","98","12"
AaronKel,"22","9","5"
AaronLeong,"2","2","0"
aaronsw,"22","136","10"
aarontuor,"1","9","2"
aartur,"5","8","2"
aaugustin,"34","107","45"
abadger,"11","39","24"
abakan,"9","6","6"
abarker,"2","3","0"
abarnert,"14","63","3"
abarto,"3","4","4"
abbbi,"2","3","0"
Abdur-rahmaanJ,"7","1","0"
AbeelLab,"2","27","17"
abelcarreras,"1","29","25"
abelfunctions,"1","45","26"
AbenezerMamo,"1","6","0"
abhi007tyagi,"4","5","0"
abhijithanilkumar,"1","2","3"
abhik,"9","45","10"
abhikumar22,"63","40","149"
abhishek-ram,"2","6","2"
abhishekkr,"1","2","0"
abilian,"102","181","224"
abinashmeher999,"2","8","7"
abinit,"16","67","41"
abishara,"5","1","24"
Abjad,"126","145","643"
ablil98,"2","10","0"
Ablinne,"2","5","9"
Abogical,"6","14","0"
aboood40091,"3","4","1"
aboSamoor,"2","32","27"
aboudzakaria,"3","1","1"
abourget,"6","8","1"
aboutsajjad,"3","39","26"
abravalheri,"6","4","6"
abrt,"58","173","77"
abseil,"5","19","3"
absent1706,"10","21","39"
abunsen,"2","1","1"
abusalimov,"2","4","1"
abusesa,"28","565","31"
acama,"2","12","4"
acatton,"8","50","7"
acbraith,"1","2","0"
AccentDesign,"4","25","23"
acdh-oeaw,"6","23","5"
ace0,"6","22","3"
aceofwings,"6","7","18"
acg,"6","4","0"
achilleas-k,"8","9","3"
achimnol,"1","9","1"
AcidWeb,"2","1","0"
acil-bwh,"10","6","20"
aclements,"2","17","0"
aclowes,"4","10","11"
acocac,"1","16","11"
acontry,"6","10","1"
acoomans,"1","5","2"
acorg,"3","42","4"
acq4,"120","212","74"
acrazing,"5","1","0"
AcrDijon,"2","20","20"
acrisci,"11","45","15"
Acrisel,"1","25","10"
ACS-Community,"10","1","4"
acsone,"12","45","7"
acsproj,"3","2","0"
ActiDoo,"12","22","5"
actionless,"19","38","28"
activefrequency,"10","3","13"
ActiveState,"616","1535","374"
actlea,"7","15","0"
acutesoftware,"6","73","2"
acysos,"4","15","0"
ad-m,"3","22","13"
Ad115,"1","4","0"
adafruit,"2","54","41"
adamalton,"7","2","5"
adambullmer,"2","2","8"
adamcaudill,"3","4","5"
adamchainz,"43","71","82"
adamcharnock,"88","123","79"
adamcik,"3","4","0"
adamclmns,"2","2","1"
