"Project","DynCount","FuncCount","DecCount"
"","9549","36548","11743"
(Best!) Google Code Jam 2010 Round 1C-3 (Chessboard).py,"0","6","0"
+cvt_capdist.py,"0","2","0"
+picomagic.py,"0","11","0"
+piconstruct.py,"0","9","0"
+picorotate.py,"0","2","0"
+picosudoku.py,"0","6","0"
+sched_jobs.py,"0","6","0"
+sched_rev.py,"0","6","0"
.bin,"1","0","1"
.buildkite,"0","1","0"
.ci,"0","3","0"
.config,"6","31","2"
.doxy2swig.py,"25","5","0"
.emacs.d,"530","788","442"
.gdb,"2","4","2"
.gdbinit.d,"0","5","0"
.gitstatus.py,"0","3","0"
.i3,"2","2","2"
.ipynb_checkpoints,"1","1","0"
.ipython,"1","0","2"
.local,"5","10","0"
.mako.tmp,"14","0","0"
.oh-my-zsh,"0","2","0"
.pypackages,"0","3","0"
.python-environments,"719","1124","639"
.tools,"0","1","0"
.toto.py,"1","1","0"
.travis,"0","1","0"
.usage-log.stats.py,"0","6","0"
.vim,"0","3","1"
.waf-1.8.9-849024857bd41c3cf8e87dc01ecf79b0,"279","75","142"
.waf-tools,"48","21","26"
.weechat,"4","30","0"
.xbmc,"227","363","117"
.ycm_extra_conf.py,"0","2","0"
"0","0","18","1"
"0-srtm-test-1.py","0","1","0"
"0.2","0","21","0"
"0.py","0","1","0"
"00-help.py","1","0","0"
"00-startup.py","2","2","0"
"00.1_programming-puzzles","0","0","10"
"0001","0","69","0"
"0002","0","19","0"
"0002-Fixed_XOR","0","1","0"
"0003-Single-byte_XOR_cipher","0","1","0"
"0004","0","18","0"
"0004-Detect_single-character_XOR","0","1","0"
"0005","0","15","0"
"0006","0","29","0"
"0006-Break_repeating-key_XOR","0","3","0"
"0006.py","0","1","0"
"0007","0","26","0"
"0009","0","3","0"
"001","0","1","0"
"001-test-valid-requests.py","0","2","0"
"0010","0","75","0"
"00116-Unidirectional-TSP-SOLUTION.py","0","6","0"
"00116-Unidirectional-TSP.py","0","4","0"
"0013","0","13","0"
"0013-ECB_cut-and-paste","0","1","0"
"0013. Roman to Integer","0","1","0"
"0014","12","3","0"
"0014-Longest_Collatz_sequence","0","2","0"
"0015","12","3","0"
"0015-Lattice_paths","0","2","0"
"0016","12","0","0"
"0016-Power_digit_sum","0","3","0"
"0018_add_groups_refs.py","0","10","0"
"0019","0","3","0"
"001_test_backup_and_restore","0","3","0"
"002","0","1","0"
"002-test-invalid-requests.py","0","1","0"
"0020-Factorial_digit_sum","0","1","0"
"0021-Amicable_numbers","0","1","0"
"0022-Names_scores","0","1","0"
"0023","26","26","48"
"0023-Non-abundant_sums","0","2","0"
"00230-Borrowers.py","0","3","0"
"0024","0","13","0"
"0027-Recover_the_key_from_CBC_with_IV=Key","0","1","0"
"0029-Distinct_powers","0","3","0"
"002_test_crypto","0","3","0"
"003-test-config.py","1","1","0"
"0034-Digit_factorials","0","1","0"
"0035-Circular_primes","0","1","0"
"0039. Combination Sum","0","3","0"
"003_circle.py","0","6","1"
"004","0","1","0"
"0040-Champernowne's_constant","0","2","0"
"0040. Combination Sum II","0","5","0"
"0041-Pandigital_prime","0","3","0"
"0042-Coded_triangle_numbers","1","1","0"
"0043-Sub-string_divisibility","0","4","0"
"0046-Goldbach's_other_conjecture","0","1","0"
"0047-Distinct_primes_factors","0","4","0"
"0048. Rotate Image","0","3","0"
"0049-Prime_permutations","0","3","0"
"004_star.py","0","8","1"
"0050-Consecutive_prime_sum","0","1","0"
"0053-Combinatoric_selections","0","1","0"
"005_scene.py","0","9","0"
"005_smallest_divisible_by_1_through_20.py","0","2","0"
"006","0","1","0"
"00661-BlowingFuses.py","0","2","0"
"006_texture.py","0","6","0"
"007","0","1","0"
"0076-Counting_summations","0","3","0"
"007_subdivider.py","0","3","1"
"008_fade.py","0","1","0"
"008_integrative.py","0","4","1"
"0093-Arithmetic_expressions","0","3","0"
"0099-Largest_exponential","0","1","0"
"00991-SafeSalutations.py","0","1","0"
"00_Conference_Central","416","72","0"
"00_libs","14","6","0"
"00_utils.py","8","3","0"
"01-CarND-Path-Planning-Project","0","4","0"
"01-CompareFeaturesWithReference","0","3","0"
"01-matrix.py","0","1","0"
"01-metadata","0","1","0"
"01-Preparing_Data","0","4","0"
"01-Python-Got-Pulse","0","1","0"
"01-reaching_and_tsj.py","0","2","0"
"01-Server","0","0","2"
"01-xe5x9fxbaxe6x9cxacxe8xafxadxe6xb3x95","1","0","0"
"01.linux","0","8","0"
"01.py","0","1","0"
"010","0","1","0"
"0105-Special_subset_sums-testing","0","1","0"
"0113-Non-bouncy_numbers","0","4","0"
"0118. Pascal's Triangle","0","1","0"
"0119. Pascal's Triangle II","0","2","0"
"0152-Writing_1?2_as_a_sum_of_inverse_squares","0","8","0"
"01Matrix.py","0","2","0"
"01_3_Multiple_SWs.py","0","1","0"
"01_core_objects","0","10","0"
"01_Easy","0","10","0"
"01_GetDomain.py","0","1","0"
"01_opt.py","0","0","1"
"01_opt_soln.py","0","0","1"
"01_orbDetectionTestProgram.py","0","1","0"
"01_test_tools.py","0","0","2"
"01_tutorials","0","1","0"
"02","0","1","0"
"02 DATE, ORCID and WorkSummary Class(Filter 1)","6","9","0"
"02-CarND-Semantic-Segmentation","4","5","5"
"02-device-registry","2","0","0"
"02-Excel_To_CSV","0","1","0"
"02-Exploratory_(Interactive)_Data_Analysis.py","0","2","0"
"02-Pythonxe5xb8xb8xe7x94xa8xe6x95xb0xe6x8dxaexe7xb1xbbxe5x9ex8bxe6x93x8dxe4xbdx9c","0","1","0"
"02.DataProviderGeneratorServer","0","5","0"
"02.py","0","1","0"
"0216. Combination Sum III","0","4","0"
"02b_integrate_with_size_country_reporting.py","0","9","0"
"02_first_level_models","0","4","0"
"02_integrate_with_size_country.py","1","4","0"
"02_Medium","0","2","0"
"02_questions","0","3","0"
"02_test_resources.py","0","0","2"
"02_topography","0","7","0"
"03 Rest API","6","11","0"
"03-CarND-Capstone","0","5","0"
"03-M1_adaptation.py","0","1","0"
"03-otu-picking-trees","0","2","0"
"03-Reference","0","1","0"
"03-single-janus","0","1","0"
"03-xe5x87xbdxe6x95xb0xe7x9ax84xe4xbdxbfxe7x94xa8","0","3","9"
"03.MetadataGeneratorClient","0","5","0"
"031-040","0","6","0"
"0386. Lexicographical Numbers","0","4","0"
"03_aggregate_to_wikipedia.py","0","7","0"
"03_clean.py","0","4","0"
"03_Hard","0","1","0"
"03_neural_recsys","0","3","2"
"03_second_level_models","0","3","0"
"03_test_io.py","0","0","2"
"04 Sorting and Filter 2","6","13","0"
"04-CarND-Behavioral-Cloning","0","2","0"
"04-hue-lights","2","0","0"
"04-InterpretationOfClusters","0","5","0"
"04-model","0","2","0"
"04.DataProviderGeneratorClient","0","7","0"
"04.py","0","1","0"
"0400_i18n","0","3","0"
"045-Home2.py","0","1","0"
"04_conv_nets","0","5","0"
"04_low_level_functions","0","2","0"
"04_sent.py","0","8","0"
"04_test_processor.py","0","0","2"
"05 BibTeX in Python","6","19","0"
