"Project","DynCount","FuncCount","DecCount"
"","9549","36548","11743"
.bin,"1","0","1"
.config,"6","31","2"
.emacs.d,"530","788","442"
.gdb,"2","4","2"
.i3,"2","2","2"
.ipython,"1","0","2"
.python-environments,"719","1124","639"
.vim,"0","3","1"
.waf-1.8.9-849024857bd41c3cf8e87dc01ecf79b0,"279","75","142"
.waf-tools,"48","21","26"
.xbmc,"227","363","117"
"0","0","18","1"
"00.1_programming-puzzles","0","0","10"
"0023","26","26","48"
"003_circle.py","0","6","1"
"004_star.py","0","8","1"
"007_subdivider.py","0","3","1"
"008_integrative.py","0","4","1"
"01-Server","0","0","2"
"01_opt.py","0","0","1"
"01_opt_soln.py","0","0","1"
"01_test_tools.py","0","0","2"
"02-CarND-Semantic-Segmentation","4","5","5"
"02_test_resources.py","0","0","2"
"03-xe5x87xbdxe6x95xb0xe7x9ax84xe4xbdxbfxe7x94xa8","0","3","9"
"03_neural_recsys","0","3","2"
"03_test_io.py","0","0","2"
"04_test_processor.py","0","0","2"
"05.py","0","2","2"
"05_FirstPython","1714","2259","1657"
"05_test_fsa.py","0","0","2"
"06.py","0","8","2"
"06_test_formats.py","0","0","2"
"07.Dataflow","0","4","1"
"07.py","0","6","3"
"08-object-oriented-programming","0","0","4"
"08.py","0","8","3"
"09.py","0","7","3"
"1-num2word","0","0","2"
"1. Data Source","0","0","1"
"1.0","221","198","94"
"1.2 Final","0","0","6"
"1.hello-world","0","4","4"
"1.MNIST For ML Beginners","0","3","4"
"10-optics.py","0","0","2"
"100daysofpython","13","29","4"
"11-machine.py","0","0","1"
"118e.py","0","0","1"
"119e.py","0","0","1"
"12-endstation.py","0","0","2"
"13-mll.py","0","0","3"
"13.py","0","3","1"
"15-zp.py","0","0","3"
"1663. Smallest String With A Given Numeric Value","0","0","1"
"167. Two Sum II - Input array is sorted","0","0","1"
"172 Matrix Sum","0","0","1"
"174 Dice Possibility","0","0","1"
"17_testing_projects","0","0","1"
"19_building_projects","0","0","1"
"1e","17","4","2"
"2.1.0","0","1","3"
"2.78","6308","8765","5019"
"2.Deep MNIST for Experts","0","3","4"
"2014-jos-Lab1","0","3","1"
"2014-jos-Lab2","0","3","1"
"2014-jos-Lab3","0","3","1"
"2014-jos-Lab4","0","3","1"
"20161022","0","0","2"
"2017-05-20","1","7","2"
"20180925","0","2","1"
"20180926","0","2","1"
"2019-11-30","0","2","3"
"20_Third_Certification","2251","2575","2313"
"215. Kth Largest Element in an Array","0","1","3"
"2a-tdrop","0","0","3"
"2e","5","0","1"
"3.0","0","0","29"
"3.0.0","0","0","4"
"3.CodeOrganization","0","0","1"
"3.rpc","0","5","4"
"3.TensorFlow Mechanics 101","0","3","4"
"30-days-of-code","0","3","1"
"324. Wiggle Sort II","0","0","2"
"347. Top K Frequent Elements","0","2","2"
"371. Sum of Two Integers","0","0","1"
"3MFReader","0","45","8"
"3MFWriter","0","0","4"
"3point2plane.py","0","0","1"
"3rdpart","10","3","12"
"3rdParty","459","773","216"
"3rd_party","0","0","3"
"4","0","38","6"
"4.8.1","0","0","3"
"5.0.0","0","0","3"
"5.1","11","7","5"
"5.2","11","8","5"
"5.2.1","0","0","3"
"503-gaia-device-type.py","0","0","8"
"520-delete-regions.py","0","0","8"
"57","0","0","2"
"5_concurrent_sleep.py","0","1","1"
"5_concurrent_sleep_flymake.py","0","1","1"
"6.Recurrent Neural Networks","0","5","7"
"6_2_image.py","0","1","4"
"6_3_trans.py","0","1","10"
"6_done_callback_sleep.py","0","1","1"
"716MaxStack.py","0","0","2"
"750g","0","1","4"
"7_1_bike_stock.py","0","1","7"
"8","0","26","1"
"9","0","17","1"
"957. Prison Cells After N Days","0","0","1"
?dev,"0","33","6"
a-flask.py,"3","9","16"
a2_local_element_details_lister.py,"0","0","2"
a2_local_element_file_list.py,"0","0","2"
a2_local_element_gtranslate_lister.py,"0","1","3"
a2_local_element_hotstrings.py,"0","0","3"
aaa_profiling,"21","229","224"
aac_file.py,"2","0","12"
aaf,"0","1","4"
