"Project","DynCount","FuncCount","DecCount"
"","9549","36548","11743"
.bin,"1","0","1"
.config,"6","31","2"
.doxy2swig.py,"25","5","0"
.emacs.d,"530","788","442"
.gdb,"2","4","2"
.i3,"2","2","2"
.ipynb_checkpoints,"1","1","0"
.ipython,"1","0","2"
.local,"5","10","0"
.mako.tmp,"14","0","0"
.python-environments,"719","1124","639"
.toto.py,"1","1","0"
.waf-1.8.9-849024857bd41c3cf8e87dc01ecf79b0,"279","75","142"
.waf-tools,"48","21","26"
.weechat,"4","30","0"
.xbmc,"227","363","117"
"00-help.py","1","0","0"
"00-startup.py","2","2","0"
"0014","12","3","0"
"0015","12","3","0"
"0016","12","0","0"
"0023","26","26","48"
"003-test-config.py","1","1","0"
"0042-Coded_triangle_numbers","1","1","0"
"00_Conference_Central","416","72","0"
"00_libs","14","6","0"
"00_utils.py","8","3","0"
"01-xe5x9fxbaxe6x9cxacxe8xafxadxe6xb3x95","1","0","0"
"02 DATE, ORCID and WorkSummary Class(Filter 1)","6","9","0"
"02-CarND-Semantic-Segmentation","4","5","5"
"02-device-registry","2","0","0"
"02_integrate_with_size_country.py","1","4","0"
"03 Rest API","6","11","0"
"04 Sorting and Filter 2","6","13","0"
"04-hue-lights","2","0","0"
"05 BibTeX in Python","6","19","0"
"05_FirstPython","1714","2259","1657"
"06 Filter HTML Content with Javascript","6","19","0"
"0800_builder","2","2","0"
"0launch-gui","8","28","0"
"1. Can you inject some happiness?","1","0","0"
"1.0","221","198","94"
"1.1-blast_V.py","1","1","0"
"1.2-blast_J.py","3","0","0"
"1.3-finalize_assignments.py","1","1","0"
"100daysofpython","13","29","4"
"141e.py","3","0","0"
"14_netcdf","3","1","0"
"1e","17","4","2"
"2. All of your cookies are belong to me","1","0","0"
"2.3-intradonor_analysis.py","1","4","0"
"2.78","6308","8765","5019"
"2.CHA","2","1","0"
"20161014","1","1","0"
"2017-05-20","1","7","2"
"20180917","1","0","0"
"2048.py","1","21","0"
"20_Third_Certification","2251","2575","2313"
"21-xspress3.py","3","1","0"
"22-scalers.py","2","4","0"
"2e","5","0","1"
"3.2-run_IgPhyML.py","1","2","0"
"385. Mini Parser","1","0","0"
"3dmouse_plugin_alpha.py","1","0","0"
"3rd","72","76","0"
"3rdpart","10","3","12"
"3rdParty","459","773","216"
"3rd_party-static","36","108","0"
"4f_model","1","10","0"
"4thought","1","0","0"
"5.1","11","7","5"
"5.2","11","8","5"
"60-viewer2d.py","4","12","0"
"6001x","1","1","0"
"640. Solve the Equation","1","0","0"
"70-users_plans.py","38","389","0"
"90-alignment.py","3","41","0"
@tests,"2","0","0"
a-flask.py,"3","9","16"
a1,"2","0","0"
aaa_profiling,"21","229","224"
aac_file.py,"2","0","12"
aadecode.py,"2","2","0"
aarch64-linux-android-4.9,"28","8","30"
aarch64-unknown-linux-gnueabi,"5","1","5"
aarch64_gen_opmap.py,"1","14","1"
aarch64_gen_tests.py,"1","3","0"
aasheauth,"10","1","0"
aat,"1","201","52"
abc,"8","1","14"
abc.py,"68","4","65"
abd,"11","73","52"
abll_compile.py,"1","1","0"
about-generator.py,"4","10","0"
about.py,"1","10","2"
abox.py,"1","7","0"
abq,"1","5","0"
absinterp.py,"13","7","8"
absolute_urls.py,"2","0","0"
absolute_url_overrides,"89","296","0"
abstract.py,"30","55","100"
AbstractAnalyzer.py,"2","0","0"
AbstractControlFile.py,"1","0","0"
abstractions.py,"15","2","4"
abstracts.py,"1","0","0"
AbstractSite.py,"3","3","1"
abstract_channel.py,"1","0","0"
abstract_duplicate.py,"1","1","0"
AbtelBackup,"1","1","0"
ac,"2","72","10"
acado,"10","0","0"
acbs,"1","0","0"
acceleration.py,"1","4","1"
accelerator.py,"1","1","11"
acceptance,"14","459","201"
acceptance_test.py,"80","19","14"
access,"20","29","27"
access.py,"12","14","68"
accesslog,"1","5","0"
accesslog.py,"4","3","1"
access_contest.py,"1","0","0"
access_control.py,"1","0","0"
accnn,"16","21","0"
account,"663","6027","684"
account.py,"10","125","145"
